FrameNumber,Timestamp,LeftWristX,LeftWristY,LeftWristZ,RightWristX,RightWristY,RightWristZ,LeftElbowX,LeftElbowY,LeftElbowZ,RightElbowX,RightElbowY,RightElbowZ,LeftShoulderX,LeftShoulderY,LeftShoulderZ,RightShoulderX,RightShoulderY,RightShoulderZ
2,2024-08-09T18:36:38.4140303+03:30,-0.439438045,0.321991146,1.98133433,-0.0182210263,-0.282416135,2.43048429,-0.464503974,0.225462675,2.178907,-0.03276154,-0.0942582,2.53535342,-0.374833584,0.179929629,2.427555,-0.0972865,0.148289755,2.55686831
3,2024-08-09T18:36:38.4352890+03:30,-0.4388630372603304,0.3230228547892923,1.9819404685943884,-0.018031006644541624,-0.282238555431769,2.430809756697591,-0.4648216680287146,0.22580123459659177,2.1790068252562587,-0.03262128320465206,-0.09408080595928794,2.5356810413079214,-0.3749389881400707,0.1800219959897288,2.427704843354823,-0.09752561654510293,0.14836103242273568,2.556348627028535
4,2024-08-09T18:36:38.4623912+03:30,-0.4383706377940142,0.3239488275022682,1.9824705466721348,-0.017809141733031216,-0.2821101843037867,2.4311076703030365,-0.46508611404339106,0.22618009541159087,2.1791308593989758,-0.032680391445440445,-0.09383790943740099,2.5357011410661046,-0.3750284011312791,0.18012153873387313,2.4278422037552922,-0.0978342898053603,0.14869467292483324,2.556185956639183
5,2024-08-09T18:36:38.4962354+03:30,-0.43792126457123937,0.32489227945176513,1.982865347543473,-0.017693103472358494,-0.2820176076032407,2.431352057303348,-0.46531268260945163,0.22664098956075424,2.1791659799514393,-0.03276058037827511,-0.09362073609317972,2.535663941559609,-0.3751078050494619,0.18022048870501148,2.4279688461656113,-0.09811933313131847,0.14903094111472426,2.5560811599808604
6,2024-08-09T18:36:38.5311024+03:30,-0.43752094291875276,0.32585840667264104,1.9832503133256967,-0.017496730525882433,-0.2819337653271013,2.431553971984884,-0.46546773558096,0.22713583218203004,2.1792157349858696,-0.03271487780403483,-0.09352675661936234,2.5358312944189056,-0.375170454409391,0.18031311817564616,2.4280896588320284,-0.09836845690320697,0.14933888260287131,2.5560099930675517
7,2024-08-09T18:36:38.5652431+03:30,-0.4371737245162179,0.32679838514925585,1.98366881828933,-0.01727067523368922,-0.28185018555916125,2.4317349737354275,-0.4655903766957609,0.22762025909827788,2.179320311021708,-0.03262142550307959,-0.09347520100255485,2.536070058304666,-0.3752506007725729,0.18046046026062437,2.428253590072065,-0.09860322702591025,0.1496003794681636,2.5557905491602018
8,2024-08-09T18:36:38.5949543+03:30,-0.4368824961529161,0.327664906989685,1.9841175278738008,-0.017236282944832374,-0.28174236943737035,2.431798892412503,-0.4656911165791238,0.22807933480518344,2.179493955951084,-0.0325136943213837,-0.09344890675680913,2.5363245127432696,-0.37536164181165854,0.18064274931987628,2.4284487724552517,-0.09884085390581347,0.14984633016589527,2.555534168310305
9,2024-08-09T18:36:38.6302360+03:30,-0.4365714218994892,0.3285041076354285,1.9845100476163324,-0.017340598743801807,-0.2816321313067018,2.4317988293616737,-0.4657855148839902,0.22854209660393981,2.1796245222261854,-0.032412343347072096,-0.09343265127411805,2.5365609082053013,-0.37547367747342536,0.18084054103367783,2.428645214078204,-0.09902728490231737,0.15001479988574468,2.555181097038435
10,2024-08-09T18:36:38.6599707+03:30,-0.4362252236438075,0.32933307363605774,1.984781075143521,-0.017490757850380855,-0.28153393351228884,2.4317788200130797,-0.46593122599419295,0.22902736258685638,2.1796339759559364,-0.03231704403710646,-0.09342298677324848,2.5367749944343387,-0.37557999446631113,0.18103968134493897,2.4288351285822176,-0.09918517408926195,0.15016602151016198,2.5548198006257663
11,2024-08-09T18:36:38.6957803+03:30,-0.43583960645795183,0.33010114373159277,1.9849796265983197,-0.017659254205095173,-0.281453901656312,2.4317522797790523,-0.4661465569359252,0.2294925521212915,2.179570780559094,-0.03222401444640206,-0.09341428531947248,2.5369532202237184,-0.3756863779600633,0.1812417069617654,2.4290196062713236,-0.09934809090606776,0.1502932885765049,2.554412101493254
