FrameNumber,Timestamp,LeftElbowYaw,LeftElbowRoll,RightElbowYaw,RightElbowRoll,LeftShoulderRoll,LeftShoulderPitch,RightShoulderRoll,RightShoulderPitch,LeftWristX,LeftWristY,LeftWristZ,RightWristX,RightWristY,RightWristZ,LeftElbowX,LeftElbowY,LeftElbowZ,RightElbowX,RightElbowY,RightElbowZ,LeftShoulderX,LeftShoulderY,LeftShoulderZ,RightShoulderX,RightShoulderY,RightShoulderZ,LeftWristColorX,LeftWristColorY,RightWristColorX,RightWristColorY,LeftElbowColorX,LeftElbowColorY,RightElbowColorX,RightElbowColorY,LeftShoulderColorX,LeftShoulderColorY,RightShoulderColorX,RightShoulderColorY
2,2024-08-09T18:36:38.4140303+03:30,-32,-31,67,26,20,-10,-15,85,-0.439438045,0.321991146,1.98133433,-0.0182210263,-0.282416135,2.43048429,-0.464503974,0.225462675,2.178907,-0.03276154,-0.0942582,2.53535342,-0.374833584,0.179929629,2.427555,-0.0972865,0.148289755,2.55686831,0,0,0,0,0,0,0,0,0,0,0,0
3,2024-08-09T18:36:38.4352890+03:30,-33,-31,67,26,20,-10,-15,85,-0.438863039,0.323022842,1.98194051,-0.0180310067,-0.282238543,2.43080974,-0.464821666,0.225801229,2.17900681,-0.0326212831,-0.0940808058,2.535681,-0.374939,0.180022,2.42770481,-0.09752562,0.148361027,2.55634856,0,0,0,0,0,0,0,0,0,0,0,0
4,2024-08-09T18:36:38.4623912+03:30,-33,-31,67,26,20,-10,-15,85,-0.438370645,0.32394883,1.98247051,-0.0178091414,-0.282110184,2.43110776,-0.4650861,0.226180092,2.17913079,-0.0326803923,-0.09383791,2.535701,-0.3750284,0.180121541,2.42784214,-0.09783429,0.148694679,2.556186,0,0,0,0,0,0,0,0,0,0,0,0
5,2024-08-09T18:36:38.4962354+03:30,-31,-31,67,26,20,-11,-15,85,-0.437921256,0.324892282,1.98286533,-0.0176931042,-0.282017618,2.43135214,-0.4653127,0.226640984,2.179166,-0.03276058,-0.09362073,2.53566384,-0.3751078,0.180220485,2.42796874,-0.09811933,0.149030939,2.556081,0,0,0,0,0,0,0,0,0,0,0,0
6,2024-08-09T18:36:38.5311024+03:30,-31,-31,67,26,20,-11,-15,85,-0.437520951,0.3258584,1.98325026,-0.0174967311,-0.281933755,2.431554,-0.465467721,0.227135837,2.17921567,-0.0327148773,-0.09352676,2.53583121,-0.375170469,0.180313125,2.42808962,-0.09836846,0.149338886,2.55601,0,0,0,0,0,0,0,0,0,0,0,0
7,2024-08-09T18:36:38.5652431+03:30,-31,-32,68,26,20,-11,-15,85,-0.437173724,0.326798379,1.9836688,-0.0172706749,-0.2818502,2.431735,-0.4655904,0.227620259,2.17932034,-0.0326214246,-0.0934752,2.53607,-0.3752506,0.180460453,2.42825365,-0.0986032262,0.149600387,2.55579066,0,0,0,0,0,0,0,0,0,0,0,0
8,2024-08-09T18:36:38.5949543+03:30,-31,-32,68,26,20,-11,-15,85,-0.4368825,0.3276649,1.98411751,-0.017236283,-0.281742364,2.431799,-0.465691119,0.228079334,2.179494,-0.032513693,-0.09344891,2.5363245,-0.375361651,0.180642754,2.42844868,-0.0988408551,0.14984633,2.55553412,0,0,0,0,0,0,0,0,0,0,0,0
9,2024-08-09T18:36:38.6302360+03:30,-31,-32,69,27,20,-11,-15,86,-0.436571419,0.328504115,1.98451006,-0.0173405986,-0.281632125,2.431799,-0.4657855,0.228542089,2.17962456,-0.0324123427,-0.09343265,2.536561,-0.375473678,0.180840537,2.42864513,-0.09902728,0.1500148,2.555181,0,0,0,0,0,0,0,0,0,0,0,0
10,2024-08-09T18:36:38.6599707+03:30,-32,-32,68,27,20,-11,-15,86,-0.436225235,0.329333067,1.984781,-0.0174907576,-0.281533927,2.431779,-0.465931237,0.229027361,2.179634,-0.0323170424,-0.09342299,2.536775,-0.375579983,0.181039676,2.42883515,-0.0991851762,0.15016602,2.55481982,0,0,0,0,0,0,0,0,0,0,0,0
11,2024-08-09T18:36:38.6957803+03:30,-32,-32,68,27,20,-11,-15,86,-0.4358396,0.330101132,1.98497963,-0.0176592544,-0.2814539,2.4317522,-0.466146559,0.229492545,2.17957067,-0.0322240144,-0.0934142843,2.53695321,-0.375686377,0.1812417,2.42901969,-0.09934809,0.150293291,2.55441213,0,0,0,0,0,0,0,0,0,0,0,0
