FrameNumber,Timestamp,LeftElbowYaw,LeftElbowRoll,RightElbowYaw,RightElbowRoll,LeftShoulderRoll,LeftShoulderPitch,RightShoulderRoll,RightShoulderPitch,LeftWristX,LeftWristY,LeftWristZ,RightWristX,RightWristY,RightWristZ,LeftElbowX,LeftElbowY,LeftElbowZ,RightElbowX,RightElbowY,RightElbowZ,LeftShoulderX,LeftShoulderY,LeftShoulderZ,RightShoulderX,RightShoulderY,RightShoulderZ,LeftWristColorX,LeftWristColorY,RightWristColorX,RightWristColorY,LeftElbowColorX,LeftElbowColorY,RightElbowColorX,RightElbowColorY,LeftShoulderColorX,LeftShoulderColorY,RightShoulderColorX,RightShoulderColorY,origin_x,origin_y,goal_x,goal_y,origin_z,goal_z
1,2024-08-09T16:58:03.4393595+03:30,-36,-19,112,28,20,1,-21,102,-0.364713758,0.2694085,1.94486272,0.255627543,-0.204249978,2.489701,-0.3485569,0.234436646,2.14469576,0.135611489,0.0063186055,2.55545759,-0.259324044,0.237095654,2.38770461,0.04827952,0.228950128,2.50900984,0,0,0,0,0,0,0,0,0,0,0,0,191.35557556152344,347.27392578125,280.341064453125,338.5230407714844,1.5713,1.5024
2,2024-08-09T16:58:03.4622305+03:30,-36,-19,112,28,20,1,-21,102,-0.3651628,0.269727856,1.94566953,0.256597638,-0.204806164,2.48950052,-0.348851383,0.234488234,2.1448853,0.1356276,0.00633322727,2.555815,-0.2592782,0.2370862,2.38772869,0.0481930375,0.229042456,2.509502,0,0,0,0,0,0,0,0,0,0,0,0,191.3417816162109,347.1124572753906,280.3471984863281,338.4989929199219,1.5801,1.5024
3,2024-08-09T16:58:03.4995162+03:30,-37,-19,112,28,20,1,-21,102,-0.365568876,0.270018816,1.94640565,0.2572852,-0.205408692,2.48969984,-0.349120528,0.234528437,2.145108,0.135578454,0.00637552142,2.55596781,-0.2592385,0.237075984,2.38774872,0.04817135,0.229024008,2.50996327,0,0,0,0,0,0,0,0,0,0,0,0,191.48660278320312,346.923095703125,279.85223388671875,338.50567626953125,1.5801,1.5024
4,2024-08-09T16:58:03.5296228+03:30,-37,-19,113,27,20,1,-21,101,-0.365941,0.270302176,1.94703412,0.2583055,-0.206745058,2.48967934,-0.349362254,0.2345802,2.14530683,0.13581717,0.00558238057,2.555531,-0.259182274,0.2370678,2.38777876,0.0481632352,0.228977561,2.510391,0,0,0,0,0,0,0,0,0,0,0,0,191.3921813964844,346.97906494140625,280.385498046875,338.57452392578125,1.5713,1.4944
5,2024-08-09T16:58:03.5599535+03:30,-37,-19,113,27,20,1,-21,101,-0.366276056,0.2705781,1.94759345,0.259346277,-0.2081748,2.48958588,-0.349581122,0.234649748,2.145506,0.136080384,0.0045660804,2.55502081,-0.259131879,0.237058237,2.38780332,0.0481893122,0.228920877,2.51087379,0,0,0,0,0,0,0,0,0,0,0,0,191.59930419921875,347.27606201171875,280.2379455566406,338.491455078125,1.5713,1.5024
6,2024-08-09T16:58:03.5962480+03:30,-36,-20,113,26,21,1,-21,101,-0.366572738,0.270863831,1.94803953,0.260406047,-0.209754914,2.48950052,-0.349767923,0.234770954,2.14565253,0.13647379,0.00343703642,2.55416822,-0.259093463,0.237048239,2.387825,0.048262082,0.228800237,2.51135278,0,0,0,0,0,0,0,0,0,0,0,0,191.3822021484375,347.00341796875,280.15985107421875,338.43658447265625,1.5713,1.4944
7,2024-08-09T16:58:03.6286894+03:30,-36,-20,114,25,21,1,-21,100,-0.3668381,0.271143436,1.94841731,0.2613606,-0.211324722,2.48939776,-0.3499316,0.2349206,2.14578128,0.136913061,0.00233650184,2.55323482,-0.25906235,0.237037838,2.38784528,0.0483402535,0.228656262,2.51180363,0,0,0,0,0,0,0,0,0,0,0,0,191.53648376464844,347.0269470214844,280.0900573730469,338.62451171875,1.5713,1.5024
8,2024-08-09T16:58:03.6639559+03:30,-34,-19,114,25,21,0,-21,100,-0.367153764,0.2717087,1.94819641,0.26205045,-0.21252124,2.48936725,-0.350078344,0.235110357,2.14593124,0.137196735,0.00157532468,2.552501,-0.259034842,0.237026036,2.387864,0.04841126,0.228503957,2.51221633,0,0,0,0,0,0,0,0,0,0,0,0,191.36427307128903,346.92364501953125,280.0790100097656,338.56134033203125,1.5801,1.5024
9,2024-08-09T16:58:03.6963609+03:30,-34,-19,115,25,21,0,-21,100,-0.367449373,0.2723528,1.947792,0.262676835,-0.213658422,2.48934,-0.350172549,0.235334024,2.14613843,0.1374462,0.000795790751,2.55193567,-0.2590134,0.237013936,2.38788366,0.048468776,0.228362843,2.512585,0,0,0,0,0,0,0,0,0,0,0,0,191.4732818603516,346.6378173828125,280.1894226074219,338.5658569335937,1.5801,1.5024
10,2024-08-09T16:58:03.7279428+03:30,-34,-19,115,25,21,0,-21,100,-0.367668271,0.272952855,1.94761491,0.263219148,-0.2147558,2.48927975,-0.3501798,0.235648826,2.14629078,0.137673125,2.62846679e-05,2.55141687,-0.25899893,0.236997366,2.38790631,0.0485121422,0.228232279,2.51290822,0,0,0,0,0,0,0,0,0,0,0,0,191.3461761474609,347.1962280273437,280.2878723144531,338.33551025390625,1.5801,1.4944
