FrameNumber,Timestamp,LeftElbowYaw,LeftElbowRoll,RightElbowYaw,RightElbowRoll,LeftShoulderRoll,LeftShoulderPitch,RightShoulderRoll,RightShoulderPitch,LeftWristX,LeftWristY,LeftWristZ,RightWristX,RightWristY,RightWristZ,LeftElbowX,LeftElbowY,LeftElbowZ,RightElbowX,RightElbowY,RightElbowZ,LeftShoulderX,LeftShoulderY,LeftShoulderZ,RightShoulderX,RightShoulderY,RightShoulderZ,LeftWristColorX,LeftWristColorY,RightWristColorX,RightWristColorY,LeftElbowColorX,LeftElbowColorY,RightElbowColorX,RightElbowColorY,LeftShoulderColorX,LeftShoulderColorY,RightShoulderColorX,RightShoulderColorY,origin_x,origin_y,goal_x,goal_y
1,2024-08-09T18:37:17.3481372+03:30,-21,-23,70,20,15,-23,-12,81,-0.420331866,0.435666472,1.950086,-0.02530472,-0.287961543,2.42528272,-0.449517071,0.298460364,2.177243,-0.0426780656,-0.096634306,2.52527952,-0.3776392,0.191418827,2.43215156,-0.0978345647,0.15780133,2.56771135,0,0,0,0,0,0,0,0,0,0,0,0,205.3536376953125,346.9862060546875,127.47856140136719,336.580078125
2,2024-08-09T18:37:17.3723705+03:30,-21,-23,71,20,15,-23,-12,81,-0.4202875,0.4357999,1.95023394,-0.02454479,-0.287366539,2.424219,-0.449704647,0.2982688,2.17759633,-0.0426770449,-0.0965980738,2.5253036,-0.37773028,0.191492185,2.43218064,-0.09840647,0.1579232,2.5666728,0,0,0,0,0,0,0,0,0,0,0,0,205.51107788085938,347.052001953125,128.01815795898438,336.68841552734375
3,2024-08-09T18:37:17.4000322+03:30,-21,-23,71,20,15,-23,-12,81,-0.4202478,0.4359169,1.950316,-0.0248710886,-0.287004739,2.42380571,-0.4499089,0.298056155,2.17785764,-0.04278017,-0.09636668,2.52529716,-0.377817184,0.191572413,2.432202,-0.09888303,0.158052072,2.56591272,0,0,0,0,0,0,0,0,0,0,0,0,205.58468627929688,347.085693359375,127.93338012695312,336.77349853515625
4,2024-08-09T18:37:17.4382782+03:30,-21,-23,70,20,15,-23,-12,81,-0.420226336,0.4360122,1.95036161,-0.0253340621,-0.286777735,2.423618,-0.450138032,0.2978452,2.17805433,-0.0428941734,-0.09613832,2.52526927,-0.37788403,0.191635847,2.43221664,-0.09928413,0.158166543,2.5652976,0,0,0,0,0,0,0,0,0,0,0,0,205.29620361328125,346.86590576171875,127.81625366210938,336.6798095703125
5,2024-08-09T18:37:17.4686005+03:30,-22,-23,70,20,15,-23,-12,81,-0.420219958,0.43608433,1.95038712,-0.0257951915,-0.286641836,2.42352653,-0.450351417,0.297652155,2.17821836,-0.04299015,-0.09594364,2.52522016,-0.377938777,0.191689432,2.43222237,-0.0995708,0.15823406,2.56484962,0,0,0,0,0,0,0,0,0,0,0,0,205.28866577148438,347.1553649902344,127.63900756835938,336.694580078125
6,2024-08-09T18:37:17.5012281+03:30,-22,-23,70,20,15,-23,-12,81,-0.420230716,0.4361233,1.95039868,-0.02620566,-0.2865945,2.4234736,-0.4505634,0.2974233,2.17833543,-0.0430651,-0.09581119,2.525149,-0.3780208,0.1917913,2.432242,-0.09978959,0.158286482,2.56449318,0,0,0,0,0,0,0,0,0,0,0,0,205.083251953125,347.28607177734375,127.58301544189453,336.63702392578125
7,2024-08-09T18:37:17.5366845+03:30,-22,-23,70,20,15,-23,-12,81,-0.4203127,0.436058044,1.95042062,-0.0256471746,-0.2864043,2.423321,-0.450828463,0.29707846,2.17845964,-0.043123953,-0.09569878,2.52506447,-0.37810576,0.191903844,2.43224955,-0.09989873,0.158224016,2.56405377,0,0,0,0,0,0,0,0,0,0,0,0,205.31039428710938,347.3342590332031,127.62686920166016,336.76287841796875
8,2024-08-09T18:37:17.5688034+03:30,-24,-23,68,21,15,-22,-13,81,-0.420449078,0.435905039,1.95041454,-0.0253636725,-0.2858431,2.42338943,-0.451104432,0.296698,2.178589,-0.04311249,-0.09517713,2.52522063,-0.378190637,0.192021012,2.432244,-0.0999216139,0.157997653,2.56337428,0,0,0,0,0,0,0,0,0,0,0,0,205.46578979492188,347.00238037109375,127.75879669189453,336.60369873046875
9,2024-08-09T18:37:17.6054423+03:30,-24,-23,69,21,15,-22,-13,82,-0.4206468,0.43566817,1.95028114,-0.0251135323,-0.285271078,2.42365384,-0.4513902,0.2962699,2.17871833,-0.0430659,-0.09453906,2.52537227,-0.3782635,0.1920778,2.43218,-0.09988612,0.157689184,2.56259131,0,0,0,0,0,0,0,0,0,0,0,0,205.29177856445312,347.0631408691406,127.54045867919922,336.731689453125
10,2024-08-09T18:37:17.6377194+03:30,-24,-23,69,21,15,-22,-13,82,-0.420910716,0.435351,1.95001817,-0.0251412075,-0.28543812,2.42383623,-0.45166862,0.295835823,2.178839,-0.0429935679,-0.09393186,2.525455,-0.378328979,0.1921028,2.432078,-0.099755235,0.157320991,2.56193686,0,0,0,0,0,0,0,0,0,0,0,0,205.55502319335938,347.14617919921875,127.26629638671875,336.814697265625
