FrameNumber,Timestamp,LeftWristX,LeftWristY,LeftWristZ,RightWristX,RightWristY,RightWristZ,LeftElbowX,LeftElbowY,LeftElbowZ,RightElbowX,RightElbowY,RightElbowZ,LeftShoulderX,LeftShoulderY,LeftShoulderZ,RightShoulderX,RightShoulderY,RightShoulderZ
2,2024-08-09T18:34:35.0326007+03:30,-0.441932678,0.285054564,1.97066724,5.01382347e-05,-0.247536063,2.41561437,-0.4498033,0.206022158,2.17742062,-0.0104608452,-0.0574858338,2.519863,-0.363893777,0.189588666,2.4367044,-0.08087153,0.169006273,2.55580831
3,2024-08-09T18:34:35.0521886+03:30,-0.441905780527677,0.28624960330165033,1.9614737035473602,0.0006215988656492077,-0.2473908744070753,2.415400983218824,-0.44974772059602874,0.2063254608388735,2.1771630511510383,-0.010584520937916016,-0.05751431895394952,2.5194470748253277,-0.36388093120316295,0.18961305628939262,2.4366502735768414,-0.0808772957171556,0.16911562876573102,2.556250040274625
4,2024-08-09T18:34:35.0861934+03:30,-0.44177157407623513,0.2864247821775823,1.9597769086662704,0.0003945932917364652,-0.24807445928212818,2.415275723392298,-0.4497013513910281,0.2066118271120102,2.1769353331630623,-0.010687745010477038,-0.05753012577591267,2.5191111213950195,-0.3638685854647525,0.18963888227396525,2.4366038393422995,-0.08080919562669187,0.16929905486732957,2.5572334664064362
5,2024-08-09T18:34:35.1235758+03:30,-0.44163696853500345,0.2863863237067308,1.9596501570340346,0.0011079473162837136,-0.24790089753200018,2.415482902606161,-0.4496552293631949,0.20688885573048552,2.1767084886585906,-0.010729662053621426,-0.057327792993728525,2.5192535935454683,-0.3638546403517654,0.1896650201766173,2.436559625510312,-0.0808405798302551,0.16947000950406146,2.557907715353075
6,2024-08-09T18:34:35.1543366+03:30,-0.4415162484472669,0.28627533377864295,1.9600237183493883,0.0020475371726421847,-0.24774051272779182,2.4157391313254566,-0.44961659218764316,0.2071367453442286,2.1765225353087896,-0.01079932026162968,-0.057208621667409296,2.519211880462271,-0.3638579979263587,0.1897232802197125,2.436526071140713,-0.08094136332300979,0.16961490973772006,2.558218811202556
7,2024-08-09T18:34:35.1860828+03:30,-0.44142626033242144,0.28611178043421953,1.9606029758525612,0.0029797249003711782,-0.24759788693935572,2.415959051707283,-0.4495924367621704,0.207340714504461,2.1764189990547465,-0.01087937119728913,-0.05713879452112355,2.519088724321738,-0.36388163504675847,0.1897798434075005,2.436515122720492,-0.08103863359291723,0.1696835588749322,2.5582879337161835
8,2024-08-09T18:34:35.2172034+03:30,-0.4413600366936056,0.28590786043345645,1.9612223257921186,0.003850480157348893,-0.24747753920335783,2.4161414403300845,-0.4495758142528276,0.20751145820047034,2.176356511785378,-0.010959848323971504,-0.05709668620124232,2.51892037366927,-0.36390519558042533,0.18984343880456317,2.4364850516983103,-0.08116233601310374,0.16972838531149348,2.5581516689508947
9,2024-08-09T18:34:35.2507963+03:30,-0.44138331427387817,0.2856339102513223,1.9618249066377695,0.004633668064904537,-0.2473784186704639,2.4162988980300564,-0.4495631335502142,0.20763820810794525,2.176334789946771,-0.011026303883100356,-0.05707404364652837,2.5187468031863753,-0.36391655496115954,0.18990635660863137,2.4364388845303955,-0.08129609118241053,0.16976255610683266,2.5579099263244984
10,2024-08-09T18:34:35.2850191+03:30,-0.4414504542954206,0.2853412289289441,1.962390209006633,0.0048189233112361386,-0.2472801435824801,2.4162451870576915,-0.4495700253600054,0.20772295006448221,2.1763287519388705,-0.011057680763021188,-0.05709284471696525,2.5185772678575247,-0.3639211216955475,0.1899671969091699,2.4363864196484597,-0.08144335246793141,0.16979676706255728,2.557573967023781
11,2024-08-09T18:34:35.3179779+03:30,-0.44155711684878624,0.2850012393527255,1.9629557075884174,0.004936526783101389,-0.24716736788618335,2.4160729908807337,-0.4496234201080555,0.20770612163646524,2.1763660448816426,-0.011068410499694533,-0.05713254220857332,2.5184131758244064,-0.36392207724313874,0.18999392828014644,2.436339967329297,-0.08157238509372658,0.1697997900506099,2.5571706461823753
12,2024-08-09T18:34:35.3500269+03:30,-0.4417243901429054,0.28456424081332327,1.9634809778434248,0.004699565183712396,-0.247363257338087,2.4158395522691256,-0.4497105935054273,0.2076057574022946,2.17643081926829,-0.011062841485395505,-0.057191915402897954,2.5182324561330507,-0.3639283315687448,0.18998596861712247,2.436315351118663,-0.08168202046220084,0.16977569485950766,2.5567380180375205
13,2024-08-09T18:34:35.3822659+03:30,-0.4422355292228168,0.2838295235544568,1.9638984028087194,0.004268609599549571,-0.24770593822237683,2.4155705656642654,-0.4498341998413128,0.2073763267576371,2.176508069103727,-0.011046001598501264,-0.0572657067760096,2.5180234069147094,-0.3639391475966258,0.18995477439591607,2.436299590903239,-0.08177839754073088,0.1697329924086352,2.556288449416451
14,2024-08-09T18:34:35.4138863+03:30,-0.4429306798750358,0.2828532584050704,1.9643936954812866,0.004068231368358033,-0.24794110695002086,2.41525267363489,-0.4500020776913792,0.206905775651519,2.176717686295782,-0.011006097140212152,-0.057392593784227446,2.517755686820252,-0.3639528473222294,0.1899095716663716,2.4362892474554205,-0.08185508715710041,0.16965844019319268,2.555811629063165
15,2024-08-09T18:34:35.4500012+03:30,-0.4437241241380803,0.2815337791287163,1.9649362035007853,0.004017929733062781,-0.2481109977476626,2.4149206288698015,-0.4502293941735227,0.20615931685394545,2.177045358265608,-0.010950454869362717,-0.05755022539050742,2.517453880533737,-0.36398553823108415,0.18985959170201297,2.4362717792212893,-0.08191068901900253,0.16956184501345067,2.5553348228597312
16,2024-08-09T18:34:35.4805935+03:30,-0.44457309712054677,0.27986035810623305,1.9654598892711483,0.0037833477067418745,-0.24825134551199568,2.414573614301581,-0.4505880071947354,0.20507566111876263,2.1774014815021916,-0.010882484007210013,-0.05772344386184787,2.517128860861152,-0.36404443277516757,0.1898179556326769,2.4362502542800173,-0.08182103356531366,0.16945739688984707,2.5551321917873144
17,2024-08-09T18:34:35.5177419+03:30,-0.4453917849858413,0.2779031405198819,1.9659351323488485,0.003481153645648178,-0.24849912681156403,2.4142100995783715,-0.45117054291873004,0.20358299094351837,2.1776972753720294,-0.010804925097237975,-0.057983422730382005,2.5166757728088953,-0.3642297145742111,0.18986485758599872,2.436335699363318,-0.08171717212174512,0.16933672397076288,2.554930498452053
18,2024-08-09T18:34:35.5499522+03:30,-0.4462316463499415,0.27551504009344135,1.9665313365632868,0.0032468942865065023,-0.24879625960810745,2.413842252627993,-0.45199489962467754,0.20146646763727355,2.1780718987812353,-0.01072129433091916,-0.05828605025394706,2.516155007586399,-0.3645379626976422,0.1900342094787982,2.4365661151839118,-0.08161948300490676,0.1692386642333846,2.554784197417241
19,2024-08-09T18:34:35.5868371+03:30,-0.4470768049989914,0.272591336417643,1.9671718194069068,0.0030865127443899182,-0.24912410911085886,2.413494762199757,-0.4529730417966654,0.19886839901777836,2.1785380876939326,-0.010633057950747427,-0.05859867751924983,2.5155808692456154,-0.3649843361039571,0.190342082065924,2.436973489161698,-0.08151957740353637,0.16919138567015993,2.5547717158125054
20,2024-08-09T18:34:35.6167768+03:30,-0.4480785548816417,0.26899492466391284,1.9680403134186275,0.003010964502258095,-0.24944263349574128,2.413153808095067,-0.45425002052697866,0.19562224437338166,2.1792645607175327,-0.010544481420215671,-0.0588973786296384,2.514986935914842,-0.36552727334485324,0.19077156052932412,2.437520051686121,-0.08140520158534212,0.16914577647870901,2.5547558059195725
21,2024-08-09T18:34:35.6491568+03:30,-0.44915719204028665,0.26486900207875813,1.9690587768306804,0.0029894819877517437,-0.24972212615713626,2.4128322139091694,-0.455730380238802,0.19192955570170528,2.1801892513720573,-0.010462610117172502,-0.05914744661009577,2.5143870195184297,-0.36614236643590464,0.19126775629204723,2.4381587932467075,-0.08122849215115419,0.16913170731396196,2.554829314653691
22,2024-08-09T18:34:35.6860598+03:30,-0.45088826267072746,0.259545278719077,1.969987152064709,0.0030053434776571106,-0.2499570877094618,2.412541263135074,-0.4573708629166994,0.18784181845040074,2.181262007158293,-0.010396492523141038,-0.05933738266905583,2.5137854566183186,-0.3667982479539208,0.19178595828005715,2.4388385018696472,-0.08103172104103558,0.16917841000999448,2.5549209125808474
23,2024-08-09T18:34:35.7240018+03:30,-0.4521677886390671,0.25401386803704895,1.970098617125481,0.0030413371881114885,-0.2501558995557319,2.412276138819833,-0.45911453310284606,0.183426973537973,2.1824949000195284,-0.010353178038529132,-0.05947351186768783,2.513176879165925,-0.367468669755149,0.19225834322187837,2.4394850753745816,-0.08084252528830378,0.16927963591039827,2.5549796091346053
24,2024-08-09T18:34:35.7540085+03:30,-0.45273438856501164,0.24851016249855845,1.9689139152815276,0.0031098220991719722,-0.25034155629601884,2.412039380008024,-0.4609842854983008,0.17884993592778048,2.1837426902453405,-0.010329581931377943,-0.05957593767374934,2.512556774413493,-0.3681362392996756,0.19266260871506616,2.4400703199884495,-0.0806533634525632,0.1694097212372487,2.5549918360549695
25,2024-08-09T18:34:35.7853121+03:30,-0.45274073094035794,0.24315213886449938,1.9668170974125487,0.0032392620096277154,-0.2505369568887121,2.4118578278507474,-0.46296244764185335,0.17419052364179405,2.1850454320096118,-0.010313688289206575,-0.05966249007826326,2.5119359508633767,-0.36882725354644613,0.19297253567849948,2.4405682009407808,-0.08050831903758908,0.1695293705064423,2.5547808834661976
