FrameNumber,Timestamp,LeftElbowYaw,LeftElbowRoll,RightElbowYaw,RightElbowRoll,LeftShoulderRoll,LeftShoulderPitch,RightShoulderRoll,RightShoulderPitch,LeftWristX,LeftWristY,LeftWristZ,RightWristX,RightWristY,RightWristZ,LeftElbowX,LeftElbowY,LeftElbowZ,RightElbowX,RightElbowY,RightElbowZ,LeftShoulderX,LeftShoulderY,LeftShoulderZ,RightShoulderX,RightShoulderY,RightShoulderZ,LeftWristColorX,LeftWristColorY,RightWristColorX,RightWristColorY,LeftElbowColorX,LeftElbowColorY,RightElbowColorX,RightElbowColorY,LeftShoulderColorX,LeftShoulderColorY,RightShoulderColorX,RightShoulderColorY,origin_x,origin_y,goal_x,goal_y
1,2024-08-09T18:34:35.0326007+03:30,-41,-26,56,24,18,-4,-17,81,-0.441932678,0.285054564,1.97066724,5.01382347e-05,-0.247536063,2.41561437,-0.4498033,0.206022158,2.17742062,-0.0104608452,-0.0574858338,2.519863,-0.363893777,0.189588666,2.4367044,-0.08087153,0.169006273,2.55580831,0,0,0,0,0,0,0,0,0,0,0,0,210.6493988037109,345.9027709960937,129.52740478515625,337.0125732421875
2,2024-08-09T18:34:35.0521886+03:30,-41,-26,56,24,18,-4,-17,81,-0.441905767,0.2862496,1.9614737,0.000621598854,-0.247390881,2.415401,-0.4497477,0.206325457,2.17716312,-0.0105845211,-0.0575143173,2.519447,-0.363880932,0.189613059,2.43665028,-0.0808773,0.169115633,2.55625,0,0,0,0,0,0,0,0,0,0,0,0,210.754638671875,345.8934020996094,129.6808319091797,336.7392272949219
3,2024-08-09T18:34:35.0861934+03:30,-40,-26,54,23,18,-4,-17,80,-0.441771567,0.2864248,1.95977688,0.000394593284,-0.248074457,2.41527581,-0.449701339,0.206611827,2.17693543,-0.0106877452,-0.0575301275,2.51911116,-0.3638686,0.189638883,2.43660378,-0.0808092,0.169299051,2.55723357,0,0,0,0,0,0,0,0,0,0,0,0,210.69137573242188,345.682373046875,129.7210693359375,336.87237548828125
4,2024-08-09T18:34:35.1235758+03:30,-40,-26,55,23,18,-4,-17,80,-0.44163698,0.2863863,1.95965016,0.00110794732,-0.2479009,2.415483,-0.449655235,0.206888855,2.17670846,-0.0107296621,-0.057327792,2.51925349,-0.363854647,0.18966502,2.43655968,-0.08084058,0.169470012,2.55790782,0,0,0,0,0,0,0,0,0,0,0,0,210.69189453125,345.7139892578125,129.85577392578125,336.73590087890625
5,2024-08-09T18:34:35.1543366+03:30,-40,-26,55,23,18,-4,-17,80,-0.44151625,0.286275327,1.96002376,0.00204753713,-0.2477405,2.415739,-0.449616581,0.20713675,2.17652249,-0.01079932,-0.05720862,2.51921177,-0.363857985,0.189723283,2.436526,-0.0809413642,0.169614911,2.55821872,0,0,0,0,0,0,0,0,0,0,0,0,210.60671997070312,345.78594970703125,129.4552459716797,336.8721923828125
6,2024-08-09T18:34:35.1860828+03:30,-40,-26,56,22,18,-4,-17,80,-0.441426247,0.286111772,1.960603,0.002979725,-0.247597888,2.41595912,-0.449592441,0.207340717,2.176419,-0.0108793713,-0.0571387932,2.51908875,-0.363881648,0.189779848,2.436515,-0.08103863,0.169683561,2.55828786,0,0,0,0,0,0,0,0,0,0,0,0,210.49932861328125,345.873779296875,129.671630859375,336.82586669921875
7,2024-08-09T18:34:35.2172034+03:30,-40,-26,56,22,18,-4,-17,80,-0.441360027,0.285907865,1.96122229,0.00385048,-0.247477546,2.41614151,-0.4495758,0.207511455,2.17635655,-0.0109598488,-0.0570966862,2.51892042,-0.3639052,0.189843446,2.436485,-0.08116233,0.169728383,2.55815172,0,0,0,0,0,0,0,0,0,0,0,0,210.53445434570312,345.8343200683594,129.36788940429688,336.98291015625
8,2024-08-09T18:34:35.2507963+03:30,-40,-25,56,22,18,-4,-17,80,-0.4413833,0.285633922,1.96182489,0.004633668,-0.247378424,2.41629887,-0.449563146,0.2076382,2.17633486,-0.0110263042,-0.0570740439,2.51874685,-0.363916546,0.189906359,2.4364388,-0.0812960938,0.169762552,2.55791,0,0,0,0,0,0,0,0,0,0,0,0,210.5101318359375,345.8306884765625,129.45285034179688,336.83746337890625
9,2024-08-09T18:34:35.2850191+03:30,-40,-25,57,22,18,-4,-17,80,-0.441450447,0.285341233,1.96239018,0.00481892331,-0.247280151,2.41624522,-0.44957003,0.207722947,2.17632866,-0.0110576805,-0.0570928454,2.51857734,-0.363921136,0.1899672,2.43638635,-0.0814433545,0.169796765,2.557574,0,0,0,0,0,0,0,0,0,0,0,0,210.56918334960935,345.82696533203125,129.51004028320312,336.8077697753906
10,2024-08-09T18:34:35.3179779+03:30,-40,-25,57,22,18,-4,-17,80,-0.4415571,0.285001248,1.96295571,0.004936527,-0.247167364,2.416073,-0.4496234,0.207706124,2.176366,-0.01106841,-0.0571325421,2.518413,-0.3639221,0.189993933,2.43633986,-0.08157238,0.16979979,2.55717063,0,0,0,0,0,0,0,0,0,0,0,0,210.6177215576172,345.92877197265625,129.5664825439453,336.7821655273437
