FrameNumber,Timestamp,LeftElbowYaw,LeftElbowRoll,RightElbowYaw,RightElbowRoll,LeftShoulderRoll,LeftShoulderPitch,RightShoulderRoll,RightShoulderPitch,LeftWristX,LeftWristY,LeftWristZ,RightWristX,RightWristY,RightWristZ,LeftElbowX,LeftElbowY,LeftElbowZ,RightElbowX,RightElbowY,RightElbowZ,LeftShoulderX,LeftShoulderY,LeftShoulderZ,RightShoulderX,RightShoulderY,RightShoulderZ,LeftWristColorX,LeftWristColorY,RightWristColorX,RightWristColorY,LeftElbowColorX,LeftElbowColorY,RightElbowColorX,RightElbowColorY,LeftShoulderColorX,LeftShoulderColorY,RightShoulderColorX,RightShoulderColorY,origin_x,origin_y,goal_x,goal_y
1,2024-08-09T16:55:13.3866705+03:30,-16,-11,133,12,14,-10,-41,97,-0.370311439,0.303542882,1.92574346,0.348649442,-0.09620024,2.49019241,-0.359531462,0.2584935,2.11781836,0.178448528,0.0521772727,2.50807786,-0.293857247,0.213278681,2.37856412,0.029218547,0.221333742,2.48875046,0,0,0,0,0,0,0,0,0,0,0,0,211.01242065429688,346.59747314453125,277.5072937011719,337.59893798828125
2,2024-08-09T16:55:13.4121775+03:30,-17,-11,133,12,14,-10,-41,97,-0.370582223,0.3039,1.92580938,0.351266354,-0.09808268,2.48987,-0.359977573,0.258704454,2.11790061,0.178797752,0.05203745,2.50779843,-0.294363737,0.213267237,2.37868881,0.0287771467,0.221292317,2.48832965,0,0,0,0,0,0,0,0,0,0,0,0,211.03033447265625,346.7786560058594,277.28997802734375,337.464599609375
3,2024-08-09T16:55:13.4465768+03:30,-17,-11,132,12,14,-10,-41,97,-0.3708605,0.304193854,1.92584717,0.348735958,-0.09687533,2.48912215,-0.360340923,0.258913368,2.11796546,0.1791154,0.051894296,2.507507,-0.294803381,0.213258073,2.37880015,0.02843171,0.2213407,2.48805737,0,0,0,0,0,0,0,0,0,0,0,0,211.0689239501953,346.7425231933594,277.209716796875,337.5096740722656
4,2024-08-09T16:55:13.4816107+03:30,-17,-11,128,12,14,-10,-42,97,-0.37123,0.304495662,1.92589521,0.348427832,-0.0970198438,2.48839164,-0.360663652,0.25911358,2.11803,0.179422051,0.0517447852,2.507205,-0.295257717,0.213260934,2.37893033,0.0280485433,0.221320644,2.4877193,0,0,0,0,0,0,0,0,0,0,0,0,210.8736572265625,346.63092041015625,277.4276123046875,337.59088134765625
5,2024-08-09T16:55:13.5128489+03:30,-17,-11,127,12,14,-10,-42,97,-0.371647924,0.30476588,1.92593753,0.349432468,-0.09774622,2.48723078,-0.360935926,0.259313941,2.11809158,0.179717511,0.05157803,2.50691628,-0.295686871,0.213271722,2.379066,0.027643593,0.221257776,2.48733878,0,0,0,0,0,0,0,0,0,0,0,0,211.07745361328125,346.79852294921875,277.29193115234375,337.57415771484375
6,2024-08-09T16:55:13.5478204+03:30,-17,-11,127,12,14,-10,-42,97,-0.3722172,0.305031568,1.92599356,0.351085663,-0.09856834,2.48613286,-0.36122936,0.2595065,2.11815786,0.180014417,0.05138661,2.50663376,-0.296446323,0.213322073,2.3792932,0.0271965824,0.221125275,2.486868,0,0,0,0,0,0,0,0,0,0,0,0,210.93345642089844,346.3427734375,277.3103332519531,337.57525634765625
7,2024-08-09T16:55:13.5825546+03:30,-17,-11,127,12,14,-10,-42,97,-0.372875869,0.305224478,1.92606926,0.351152956,-0.09754604,2.48532486,-0.361624867,0.259706944,2.11826587,0.180291012,0.05120177,2.506348,-0.29748562,0.21351403,2.379631,0.0267020371,0.220932916,2.48630357,0,0,0,0,0,0,0,0,0,0,0,0,211.10052490234375,346.4166259765625,277.33984375,337.51165771484375
8,2024-08-09T16:55:13.6167321+03:30,-19,-10,128,13,13,-10,-42,97,-0.373583,0.305362672,1.92614758,0.351568252,-0.09698465,2.484575,-0.3620582,0.259908438,2.1183908,0.180545181,0.0510330535,2.50604749,-0.2986288,0.213793769,2.380018,0.0261872634,0.220711991,2.485698,0,0,0,0,0,0,0,0,0,0,0,0,210.91983032226562,346.63275146484375,277.36810302734375,337.5325927734375
9,2024-08-09T16:55:13.6490377+03:30,-19,-10,128,13,13,-10,-42,97,-0.374314874,0.305449367,1.92622447,0.3529346,-0.0970297754,2.483131,-0.36254102,0.260108173,2.11852932,0.180792764,0.0508779027,2.50572133,-0.299767464,0.214107513,2.38041329,0.0256397631,0.220491856,2.48507166,0,0,0,0,0,0,0,0,0,0,0,0,211.00274658203125,346.59002685546875,277.1777648925781,337.6437683105469
10,2024-08-09T16:55:13.6822318+03:30,-19,-10,128,13,13,-10,-42,97,-0.374889374,0.305087179,1.92804813,0.3534615,-0.09677501,2.48146343,-0.3629863,0.259916961,2.12043476,0.181029022,0.0507391542,2.50539184,-0.30099088,0.2144486,2.38086,0.0250733346,0.2202624,2.4844296,0,0,0,0,0,0,0,0,0,0,0,0,210.9781951904297,346.44915771484375,277.4902648925781,337.50274658203125
11,2024-08-09T16:55:13.7136867+03:30,-18,-10,124,13,13,-10,-43,97,-0.375380069,0.304487526,1.93079329,0.3549222,-0.09679626,2.48016071,-0.363413483,0.2594941,2.12326455,0.181253955,0.0506142341,2.50506163,-0.302236468,0.214802578,2.38133168,0.0244997088,0.220028341,2.48377633,0,0,0,0,0,0,0,0,0,0,0,0,211.0755157470703,346.6219177246094,277.33404541015625,337.64019775390625
12,2024-08-09T16:55:13.7456768+03:30,-18,-10,125,13,13,-10,-43,97,-0.375849128,0.303781778,1.93399191,0.3566559,-0.09722171,2.47883916,-0.36384517,0.25892216,2.126536,0.181469068,0.0504997857,2.50474,-0.303508967,0.21518749,2.38183331,0.0239236541,0.219796091,2.48311567,0,0,0,0,0,0,0,0,0,0,0,0,211.12832641601562,346.258544921875,277.31024169921875,337.5762939453125
13,2024-08-09T16:55:13.7807333+03:30,-18,-10,125,14,13,-10,-43,97,-0.376352668,0.303044528,1.93735659,0.358488768,-0.09787736,2.47756147,-0.364276558,0.2582729,2.12995672,0.181671426,0.0503966548,2.504435,-0.304768056,0.215582281,2.38234663,0.0233578924,0.2195644,2.4824574,0,0,0,0,0,0,0,0,0,0,0,0,210.95071411132812,346.5825500488281,277.278564453125,337.62115478515625
14,2024-08-09T16:55:13.8123268+03:30,-23,-10,124,14,13,-9,-43,98,-0.3769099,0.302308083,1.94072044,0.358784258,-0.09745586,2.47658515,-0.364717871,0.257580876,2.13335919,0.181849092,0.0503102876,2.50414467,-0.3059837,0.215972543,2.38285446,0.0228061844,0.219335958,2.48180914,0,0,0,0,0,0,0,0,0,0,0,0,211.01242065429688,346.6773681640625,277.208740234375,337.49957275390625
15,2024-08-09T16:55:13.8456483+03:30,-23,-10,124,15,13,-9,-43,98,-0.3775418,0.30160293,1.94400752,0.358306259,-0.09668538,2.47556257,-0.365171552,0.256870568,2.136665,0.182001367,0.0502453931,2.503869,-0.307168335,0.216389567,2.38339639,0.02226715,0.219118208,2.48117518,0,0,0,0,0,0,0,0,0,0,0,0,211.04959106445312,346.39459228515625,277.24462890625,337.62127685546875
16,2024-08-09T16:55:13.8770049+03:30,-23,-10,123,15,13,-9,-43,98,-0.37833634,0.301058382,1.94551075,0.3568979,-0.09573676,2.47499728,-0.365634859,0.256161869,2.13982487,0.1821259,0.0502075255,2.50360513,-0.30830422,0.216817573,2.38395929,0.0217370037,0.2189129,2.480552,0,0,0,0,0,0,0,0,0,0,0,0,211.03317260742188,346.4737548828125,277.4170837402344,337.48553466796875
17,2024-08-09T16:55:13.9070497+03:30,-23,-10,123,15,13,-9,-43,98,-0.3793982,0.300664067,1.94565117,0.3557239,-0.09507951,2.47427654,-0.3660985,0.255481362,2.14281178,0.182231441,0.05018679,2.50335264,-0.30937773,0.217236042,2.3845222,0.0212241951,0.218718916,2.479943,0,0,0,0,0,0,0,0,0,0,0,0,210.783935546875,346.59979248046875,277.4479064941406,337.49603271484375
18,2024-08-09T16:55:13.9458005+03:30,-23,-10,118,14,13,-9,-44,98,-0.380600959,0.300349683,1.94500291,0.3532823,-0.09477885,2.473465,-0.36656937,0.2548163,2.14568782,0.182314739,0.0501827039,2.50310516,-0.31038487,0.217643812,2.38507342,0.0207365621,0.218538225,2.479359,0,0,0,0,0,0,0,0,0,0,0,0,211.0338897705078,346.58953857421875,277.4231872558594,337.5107421875
