FrameNumber,Timestamp,LeftElbowYaw,LeftElbowRoll,RightElbowYaw,RightElbowRoll,LeftShoulderRoll,LeftShoulderPitch,RightShoulderRoll,RightShoulderPitch,LeftWristX,LeftWristY,LeftWristZ,RightWristX,RightWristY,RightWristZ,LeftElbowX,LeftElbowY,LeftElbowZ,RightElbowX,RightElbowY,RightElbowZ,LeftShoulderX,LeftShoulderY,LeftShoulderZ,RightShoulderX,RightShoulderY,RightShoulderZ,LeftWristColorX,LeftWristColorY,RightWristColorX,RightWristColorY,LeftElbowColorX,LeftElbowColorY,RightElbowColorX,RightElbowColorY,LeftShoulderColorX,LeftShoulderColorY,RightShoulderColorX,RightShoulderColorY
2,2024-08-09T16:55:46.3955342+03:30,24,-6,116,12,9,-8,-20,97,-0.331815034,0.292913973,1.83911324,0.234840512,-0.257017434,2.50055575,-0.315446556,0.26527372,2.12869334,0.136885688,-0.0441809334,2.51711464,-0.2748595,0.228839114,2.379078,0.04149463,0.221764043,2.48497343,0,0,0,0,0,0,0,0,0,0,0,0
3,2024-08-09T16:55:46.4179151+03:30,38,-7,114,12,9,-9,-20,97,-0.331863433,0.2934143,1.83332968,0.234915689,-0.259574831,2.499904,-0.3156663,0.270477,2.12414026,0.136939883,-0.04417279,2.5173707,-0.274848431,0.228549525,2.37909579,0.04133635,0.221618682,2.48478723,0,0,0,0,0,0,0,0,0,0,0,0
4,2024-08-09T16:55:46.4491463+03:30,38,-7,113,12,9,-9,-20,97,-0.33180362,0.2931393,1.83069849,0.234964177,-0.261881679,2.49929285,-0.315737665,0.2703427,2.12234354,0.136954486,-0.0441646,2.51760173,-0.274815351,0.228272885,2.37912774,0.0412408821,0.221518531,2.48466444,0,0,0,0,0,0,0,0,0,0,0,0
5,2024-08-09T16:55:46.4845544+03:30,37,-7,111,12,9,-9,-20,97,-0.3317124,0.292772681,1.8290627,0.235092923,-0.264586627,2.49749041,-0.315651,0.269383252,2.12136841,0.136936143,-0.0442151725,2.517794,-0.27477473,0.228018269,2.37917447,0.0411762036,0.221374825,2.48450875,0,0,0,0,0,0,0,0,0,0,0,0
6,2024-08-09T16:55:46.5159963+03:30,36,-7,110,12,9,-9,-20,97,-0.331567556,0.292364836,1.8285985,0.235080689,-0.2670951,2.49569583,-0.315401316,0.268327177,2.12146,0.136855245,-0.04432895,2.51793933,-0.274737537,0.227777079,2.379243,0.04113403,0.221209839,2.484353,0,0,0,0,0,0,0,0,0,0,0,0
7,2024-08-09T16:55:46.5507253+03:30,36,-7,108,13,9,-9,-20,97,-0.3314013,0.2919769,1.82866073,0.234848186,-0.2694645,2.494476,-0.3150569,0.2673495,2.121998,0.136734486,-0.04448243,2.51804113,-0.274697363,0.227547854,2.37933087,0.0410694145,0.221007124,2.48411775,0,0,0,0,0,0,0,0,0,0,0,0
8,2024-08-09T16:55:46.5822009+03:30,36,-7,107,13,9,-9,-20,97,-0.331229329,0.291635424,1.82895207,0.234502882,-0.271565765,2.493467,-0.3146472,0.266537517,2.12270546,0.136578083,-0.0446579568,2.518103,-0.2746334,0.227341488,2.37943554,0.0410221554,0.2208143,2.48388052,0,0,0,0,0,0,0,0,0,0,0,0
9,2024-08-09T16:55:46.6187269+03:30,35,-7,106,13,9,-9,-20,97,-0.331041634,0.291339338,1.8294487,0.23411952,-0.2734586,2.49252319,-0.314184964,0.265876532,2.12356925,0.136409372,-0.0448510833,2.518109,-0.274550676,0.227134138,2.37956333,0.04098827,0.2206316,2.48365259,0,0,0,0,0,0,0,0,0,0,0,0
10,2024-08-09T16:55:46.6513232+03:30,35,-7,105,13,9,-9,-20,97,-0.3308552,0.291133016,1.82974315,0.233614668,-0.274962723,2.49138784,-0.313672483,0.265475154,2.124196,0.136225238,-0.0450413,2.518067,-0.274455,0.226932913,2.37970138,0.0410140939,0.220513657,2.48352122,0,0,0,0,0,0,0,0,0,0,0,0
11,2024-08-09T16:55:46.6822159+03:30,36,-7,104,13,9,-9,-20,97,-0.330676347,0.2909855,1.82991767,0.233137861,-0.2762535,2.48991585,-0.313154,0.265234381,2.12467217,0.1360411,-0.0452291444,2.51798034,-0.2743509,0.226761118,2.379862,0.04106756,0.220431134,2.48343444,0,0,0,0,0,0,0,0,0,0,0,0
12,2024-08-09T16:55:46.7139699+03:30,41,-6,107,14,8,-9,-19,97,-0.330509275,0.2908795,1.83001065,0.232625827,-0.2771529,2.48838949,-0.3126572,0.265092254,2.12503982,0.135868147,-0.045419734,2.51786971,-0.2742386,0.226607546,2.380037,0.04116142,0.2203755,2.48339677,0,0,0,0,0,0,0,0,0,0,0,0
