FrameNumber,Timestamp,LeftElbowYaw,LeftElbowRoll,RightElbowYaw,RightElbowRoll,LeftShoulderRoll,LeftShoulderPitch,RightShoulderRoll,RightShoulderPitch,LeftWristX,LeftWristY,LeftWristZ,RightWristX,RightWristY,RightWristZ,LeftElbowX,LeftElbowY,LeftElbowZ,RightElbowX,RightElbowY,RightElbowZ,LeftShoulderX,LeftShoulderY,LeftShoulderZ,RightShoulderX,RightShoulderY,RightShoulderZ,LeftWristColorX,LeftWristColorY,RightWristColorX,RightWristColorY,LeftElbowColorX,LeftElbowColorY,RightElbowColorX,RightElbowColorY,LeftShoulderColorX,LeftShoulderColorY,RightShoulderColorX,RightShoulderColorY,origin_x,origin_y,goal_x,goal_y,origin_z,goal_z
13,2024-08-09T18:33:15.8110263+03:30,-40,-29,46,31,25,-3,-20,88,-0.4958559,0.2742233,2.00451779,-0.0467962474,-0.2695862,2.40067554,-0.48936978,0.198881865,2.19614077,-0.0355407335,-0.0238505136,2.508663,-0.382219285,0.185569853,2.42185879,-0.102305591,0.158826649,2.51454616,0,0,0,0,0,0,0,0,0,0,0,0,170.27035522460938,347.464111328125,254.0697479248047,338.214111328125,1.5528,1.5024
14,2024-08-09T18:33:15.8438192+03:30,-40,-30,46,31,26,-3,-20,88,-0.4972036,0.273324162,2.00539184,-0.04675313,-0.269236237,2.40075517,-0.4905625,0.197595716,2.19674158,-0.0354812033,-0.0236449391,2.50882673,-0.382595837,0.185599089,2.42225,-0.10238944,0.158882871,2.51456451,0,0,0,0,0,0,0,0,0,0,0,0,170.3815155029297,347.52655029296875,254.0998687744141,338.11541748046875,1.5528,1.5024
15,2024-08-09T18:33:15.8804805+03:30,-40,-30,46,31,26,-3,-20,88,-0.498553723,0.272144467,2.00650334,-0.0467013828,-0.268897861,2.400843,-0.4920508,0.195969179,2.19756532,-0.0354084373,-0.0234517418,2.508998,-0.383000135,0.18557553,2.42263556,-0.102464356,0.158922717,2.51457334,0,0,0,0,0,0,0,0,0,0,0,0,170.22265625,347.50146484375,254.21939086914065,338.0150756835937,1.5528,1.5104
16,2024-08-09T18:33:15.9122387+03:30,-41,-31,46,31,26,-2,-20,88,-0.499964118,0.270643473,2.00770926,-0.0466474332,-0.2685836,2.40092468,-0.493773,0.194119319,2.19853616,-0.035342928,-0.0232739858,2.50913978,-0.383450985,0.1855209,2.423039,-0.102527775,0.158956647,2.514583,0,0,0,0,0,0,0,0,0,0,0,0,170.28794860839844,347.4511108398437,253.8674774169922,338.1658935546875,1.5528,1.5024
17,2024-08-09T18:33:15.9438371+03:30,-40,-32,46,31,27,-2,-20,88,-0.5014779,0.2687838,2.008918,-0.0465911664,-0.2682961,2.40099764,-0.4956306,0.192152768,2.19961858,-0.0352786332,-0.0231153984,2.50925136,-0.383931458,0.185444862,2.42344618,-0.102572344,0.158981368,2.51459432,0,0,0,0,0,0,0,0,0,0,0,0,170.20562744140625,347.4891357421875,253.95578002929688,338.3878479003906,1.5528,1.5024
18,2024-08-09T18:33:15.9755220+03:30,-42,-32,46,31,27,-1,-20,88,-0.503184736,0.266648382,2.010144,-0.0465324223,-0.268034875,2.401052,-0.497559577,0.190120235,2.20080733,-0.0352187641,-0.0229740683,2.509319,-0.3844372,0.185358718,2.42386127,-0.102602974,0.158998773,2.51460123,0,0,0,0,0,0,0,0,0,0,0,0,170.19351196289062,347.5304260253906,254.16221618652344,338.1307983398437,1.5528,1.5024
19,2024-08-09T18:33:16.0080146+03:30,-42,-32,46,31,27,-1,-20,88,-0.5049891,0.2642885,2.011496,-0.046471253,-0.267805427,2.40108657,-0.49955067,0.187980428,2.20217252,-0.0351577327,-0.02285487,2.50933886,-0.384956151,0.185256511,2.424265,-0.102614835,0.1590024,2.51458836,0,0,0,0,0,0,0,0,0,0,0,0,170.279541015625,347.5624084472656,254.17922973632807,338.265625,1.5528,1.5024
20,2024-08-09T18:33:16.0454017+03:30,-42,-34,46,31,28,0,-20,88,-0.5068485,0.2617519,2.01301146,-0.0463910438,-0.267609447,2.40109658,-0.501596868,0.185708135,2.20372152,-0.0350727551,-0.02276618,2.509322,-0.385476917,0.185127586,2.42464519,-0.10260769,0.158973172,2.51454687,0,0,0,0,0,0,0,0,0,0,0,0,170.14956665039062,347.6280212402344,253.83897399902344,338.22625732421875,1.5528,1.5024
21,2024-08-09T18:33:16.0762006+03:30,-42,-34,46,31,28,0,-20,88,-0.5087002,0.2591424,2.01460218,-0.04630399,-0.267463058,2.40107036,-0.503744662,0.1833465,2.20534015,-0.0349872932,-0.0227135457,2.50923061,-0.385992676,0.184975713,2.42499852,-0.10258507,0.158916578,2.51447678,0,0,0,0,0,0,0,0,0,0,0,0,170.2733917236328,347.63189697265625,254.0819396972656,338.2173156738281,1.5528,1.5024
22,2024-08-09T18:33:16.1077606+03:30,-42,-35,46,31,29,1,-20,88,-0.510527253,0.256508023,2.01620841,-0.0462131277,-0.26734823,2.40101743,-0.5060566,0.180862918,2.20693135,-0.0349012949,-0.0226835459,2.50908637,-0.386506975,0.1848013,2.42532182,-0.102550305,0.15884389,2.51438761,0,0,0,0,0,0,0,0,0,0,0,0,170.25888061523438,347.55670166015625,253.98828125,338.18768310546875,1.5528,1.5024
23,2024-08-09T18:33:16.1435607+03:30,-43,-36,46,31,29,2,-20,88,-0.5123273,0.253839642,2.01788259,-0.0461246036,-0.267249525,2.400944,-0.5085909,0.178116381,2.2084806,-0.0348281264,-0.0226578116,2.50889015,-0.3870284,0.184599146,2.425618,-0.102510251,0.158774659,2.514263,0,0,0,0,0,0,0,0,0,0,0,0,170.23507690429688,347.54150390625,253.9418182373047,338.1051330566406,1.5528,1.5024
24,2024-08-09T18:33:16.1760447+03:30,-42,-37,46,31,30,2,-20,88,-0.514086,0.2511634,2.01959062,-0.0460366532,-0.267169774,2.40085483,-0.5112587,0.1751808,2.20997477,-0.0347566828,-0.02264347,2.50865769,-0.38759613,0.184342265,2.42588186,-0.102452755,0.158701956,2.51411271,0,0,0,0,0,0,0,0,0,0,0,0,170.33358764648438,347.4790954589844,254.2001495361328,338.19451904296875,1.5528,1.5024
25,2024-08-09T18:33:16.2123286+03:30,-43,-38,46,31,30,3,-20,88,-0.515855968,0.248425215,2.02132368,-0.04594959,-0.267103851,2.400757,-0.514055431,0.172081918,2.21144223,-0.0346876942,-0.0226353761,2.50839734,-0.388191342,0.184050024,2.426122,-0.102383777,0.158629432,2.51394677,0,0,0,0,0,0,0,0,0,0,0,0,170.17745971679688,347.5439453125,254.1240234375,338.15087890625,1.5528,1.5104
26,2024-08-09T18:33:16.2436737+03:30,-44,-39,46,31,31,4,-20,88,-0.517625868,0.245607585,2.02315736,-0.0458622947,-0.2670477,2.40065384,-0.516943336,0.1688196,2.212964,-0.0346177854,-0.02263269,2.50812078,-0.388803929,0.183727726,2.42633629,-0.102312721,0.15855062,2.513748,0,0,0,0,0,0,0,0,0,0,0,0,170.34432983398438,347.5303955078125,254.049560546875,338.096923828125,1.5528,1.5024
27,2024-08-09T18:33:16.2750850+03:30,-44,-41,46,31,32,5,-20,88,-0.5194244,0.242668524,2.025028,-0.0457763225,-0.267004937,2.40053988,-0.5198493,0.165467247,2.21453834,-0.0345464647,-0.0226340387,2.50780988,-0.3894539,0.183359832,2.42651343,-0.102240212,0.158469632,2.51353121,0,0,0,0,0,0,0,0,0,0,0,0,170.11578369140625,347.5511474609375,254.13818359375,338.0955505371094,1.5528,1.5024
28,2024-08-09T18:33:16.3144709+03:30,-45,-42,46,31,32,6,-20,88,-0.5212309,0.239624441,2.02687526,-0.04569358,-0.266971737,2.40041685,-0.5227239,0.1620943,2.21612883,-0.03447831,-0.0226377,2.50747156,-0.3901454,0.182953119,2.426651,-0.10216371,0.15839085,2.51330471,0,0,0,0,0,0,0,0,0,0,0,0,170.24745178222656,347.36962890625,254.12939453125,338.13299560546875,1.5528,1.5024
29,2024-08-09T18:33:16.3429498+03:30,-44,-43,46,31,33,6,-20,88,-0.5230416,0.236464009,2.028637,-0.0456177853,-0.2669468,2.40027928,-0.5255225,0.158759311,2.21770573,-0.03442107,-0.0226423647,2.5071,-0.390862882,0.182449713,2.426673,-0.1020852,0.1583185,2.51307464,0,0,0,0,0,0,0,0,0,0,0,0,170.2733154296875,347.4385986328125,253.78990173339844,338.09375,1.5528,1.5024
30,2024-08-09T18:33:16.3793796+03:30,-45,-44,46,31,33,7,-20,88,-0.5248908,0.233222976,2.03026962,-0.04555314,-0.2669271,2.40012431,-0.5282565,0.155409664,2.219188,-0.03437507,-0.0226472933,2.50669885,-0.3915811,0.1818482,2.4265852,-0.102005124,0.158252344,2.5128324,0,0,0,0,0,0,0,0,0,0,0,0,170.254638671875,347.431640625,254.13417053222656,338.19970703125,1.5448,1.5024
31,2024-08-09T18:33:16.4118050+03:30,-45,-45,46,31,34,8,-20,88,-0.526739836,0.229858,2.03202367,-0.04548862,-0.266921252,2.399964,-0.53091073,0.1518628,2.22076058,-0.03432603,-0.02266143,2.50627947,-0.3923132,0.181189492,2.426454,-0.101926953,0.1581741,2.512559,0,0,0,0,0,0,0,0,0,0,0,0,170.0132598876953,347.6365051269531,254.0592193603516,338.0878601074219,1.5528,1.5024
32,2024-08-09T18:33:16.4445753+03:30,-46,-46,46,31,34,9,-20,88,-0.5286015,0.226350009,2.03374386,-0.045426622,-0.266931176,2.39979482,-0.5334575,0.148271039,2.222348,-0.0342735648,-0.02268471,2.5058322,-0.393060982,0.180464745,2.426268,-0.10184522,0.158086911,2.51226,0,0,0,0,0,0,0,0,0,0,0,0,170.19815063476562,347.52398681640625,254.12294006347656,338.13739013671875,1.5448,1.5024
