FrameNumber,Timestamp,LeftElbowYaw,LeftElbowRoll,RightElbowYaw,RightElbowRoll,LeftShoulderRoll,LeftShoulderPitch,RightShoulderRoll,RightShoulderPitch,LeftWristX,LeftWristY,LeftWristZ,RightWristX,RightWristY,RightWristZ,LeftElbowX,LeftElbowY,LeftElbowZ,RightElbowX,RightElbowY,RightElbowZ,LeftShoulderX,LeftShoulderY,LeftShoulderZ,RightShoulderX,RightShoulderY,RightShoulderZ,LeftWristColorX,LeftWristColorY,RightWristColorX,RightWristColorY,LeftElbowColorX,LeftElbowColorY,RightElbowColorX,RightElbowColorY,LeftShoulderColorX,LeftShoulderColorY,RightShoulderColorX,RightShoulderColorY,origin_x,origin_y,goal_x,goal_y
14,2024-08-09T16:59:21.5343761+03:30,-44,-21,62,52,20,7,-29,55,-0.337289065,0.227379426,1.93771076,0.21134536,0.00193269283,2.05085444,-0.3176006,0.196172491,2.17654133,0.218805119,0.053244818,2.32230067,-0.237061426,0.224204212,2.39443827,0.1080219,0.217472583,2.4363687,0,0,0,0,0,0,0,0,0,0,0,0,225.06570434570312,347.54095458984375,160.24118041992188,337.060302734375
15,2024-08-09T16:59:21.5659718+03:30,-44,-21,63,50,20,6,-28,57,-0.336425,0.234870359,1.93804061,0.214520037,-0.0171673875,2.06642723,-0.3169179,0.200954229,2.17531753,0.217196152,0.0485683,2.328008,-0.2363024,0.224327147,2.39421368,0.107908137,0.217328951,2.43794847,0,0,0,0,0,0,0,0,0,0,0,0,225.05245971679688,347.32086181640625,160.41700744628906,337.02545166015625
16,2024-08-09T16:59:21.6026319+03:30,-43,-20,63,48,20,5,-28,59,-0.3357508,0.241902187,1.93855429,0.219727024,-0.03580676,2.08436465,-0.316476673,0.2053881,2.17433715,0.2164106,0.043438375,2.334895,-0.235632539,0.224443451,2.393967,0.107803144,0.217222422,2.43964219,0,0,0,0,0,0,0,0,0,0,0,0,225.31732177734375,347.4705810546875,160.19097900390625,337.0491943359375
17,2024-08-09T16:59:21.6335918+03:30,-42,-20,63,46,20,4,-28,61,-0.335250527,0.2485446,1.93918908,0.226908639,-0.05315857,2.103915,-0.31621334,0.2094804,2.17352176,0.216447279,0.0383412875,2.34268832,-0.235044256,0.2245699,2.39368939,0.10771291,0.217138335,2.44142532,0,0,0,0,0,0,0,0,0,0,0,0,225.13250732421875,347.24462890625,160.5480194091797,337.0667724609375
18,2024-08-09T16:59:21.6660320+03:30,-41,-20,64,44,20,3,-28,63,-0.334871,0.254683256,1.93984866,0.236096919,-0.06857127,2.12536025,-0.3160817,0.213250473,2.17282343,0.217572272,0.0336789042,2.35135365,-0.234527409,0.224729076,2.3933835,0.107658505,0.217063054,2.44331,0,0,0,0,0,0,0,0,0,0,0,0,225.1416015625,347.232666015625,160.448486328125,337.0557861328125
19,2024-08-09T16:59:21.7010417+03:30,-40,-20,66,43,20,2,-29,66,-0.3345858,0.260368049,1.9404937,0.246937409,-0.0812638551,2.148124,-0.316001356,0.21675393,2.17220235,0.219705418,0.0295801163,2.36101556,-0.234058619,0.224937513,2.39305687,0.107681505,0.216987118,2.44534349,0,0,0,0,0,0,0,0,0,0,0,0,225.15203857421875,347.514892578125,160.11911010742188,337.14801025390625
20,2024-08-09T16:59:21.7332826+03:30,-39,-20,68,40,20,1,-29,68,-0.3343504,0.265566081,1.94109392,0.259286642,-0.09214326,2.171175,-0.315961868,0.219986528,2.17164016,0.222604588,0.02620961,2.37123513,-0.233623,0.225174546,2.39270735,0.107804827,0.216879472,2.447535,0,0,0,0,0,0,0,0,0,0,0,0,225.14881896972656,347.38690185546875,160.2470245361328,337.04595947265625
21,2024-08-09T16:59:21.7659547+03:30,-38,-21,70,39,21,1,-30,71,-0.334124923,0.270306379,1.94163394,0.273188323,-0.100695774,2.19455266,-0.315950751,0.222958952,2.17111635,0.226127073,0.02368977,2.38180733,-0.2332176,0.225422412,2.392331,0.108053647,0.216749266,2.44988012,0,0,0,0,0,0,0,0,0,0,0,0,225.182861328125,347.3642578125,160.61065673828125,337.075927734375
22,2024-08-09T16:59:21.8023338+03:30,-37,-20,73,37,21,0,-31,73,-0.333879977,0.274650633,1.94210887,0.2877656,-0.106589526,2.21773076,-0.315940142,0.225686967,2.17060924,0.230077311,0.022145329,2.392709,-0.23281163,0.22566478,2.39191341,0.1084357,0.216597676,2.4523747,0,0,0,0,0,0,0,0,0,0,0,0,225.04010009765625,347.5602111816406,160.24900817871094,336.99127197265625
23,2024-08-09T16:59:21.8347126+03:30,-35,-20,76,35,21,-1,-32,75,-0.333564669,0.278632343,1.94250357,0.303095162,-0.110856034,2.24051356,-0.315856576,0.228184134,2.1700933,0.234207913,0.02143401,2.403758,-0.23240675,0.225893557,2.39147,0.108936004,0.216440871,2.45498252,0,0,0,0,0,0,0,0,0,0,0,0,225.14088439941406,347.3939208984375,160.38873291015625,337.0875244140625
