FrameNumber,Timestamp,LeftElbowYaw,LeftElbowRoll,RightElbowYaw,RightElbowRoll,LeftShoulderRoll,LeftShoulderPitch,RightShoulderRoll,RightShoulderPitch,LeftWristX,LeftWristY,LeftWristZ,RightWristX,RightWristY,RightWristZ,LeftElbowX,LeftElbowY,LeftElbowZ,RightElbowX,RightElbowY,RightElbowZ,LeftShoulderX,LeftShoulderY,LeftShoulderZ,RightShoulderX,RightShoulderY,RightShoulderZ,LeftWristColorX,LeftWristColorY,RightWristColorX,RightWristColorY,LeftElbowColorX,LeftElbowColorY,RightElbowColorX,RightElbowColorY,LeftShoulderColorX,LeftShoulderColorY,RightShoulderColorX,RightShoulderColorY
2,2024-08-09T18:33:57.1697558+03:30,-39,-24,168,14,15,-12,-5,77,-0.4484896,0.346172661,1.98067987,-0.0195234343,-0.217299,2.46010971,-0.461841255,0.2526757,2.16603613,-0.0826287344,-0.0331009924,2.51259685,-0.3858207,0.194887623,2.43790722,-0.101804458,0.162008,2.55704117,0,0,0,0,0,0,0,0,0,0,0,0
3,2024-08-09T18:33:57.2038299+03:30,-39,-24,169,14,15,-12,-5,77,-0.448744923,0.346317381,1.98094547,-0.0195268076,-0.217503265,2.46003985,-0.462274015,0.252735674,2.16621518,-0.08271806,-0.033524517,2.51214242,-0.3858168,0.194900215,2.43796921,-0.101709485,0.1616357,2.55602551,0,0,0,0,0,0,0,0,0,0,0,0
4,2024-08-09T18:33:57.2359547+03:30,-39,-24,163,13,15,-12,-5,78,-0.4490391,0.346302032,1.98141074,-0.0201509111,-0.221727133,2.45799565,-0.462696522,0.252678156,2.16662,-0.082737945,-0.03388658,2.51187944,-0.3858028,0.194890246,2.43802786,-0.101632245,0.1613247,2.55505157,0,0,0,0,0,0,0,0,0,0,0,0
5,2024-08-09T18:33:57.2679382+03:30,-38,-25,162,13,16,-12,-5,78,-0.449309856,0.3461362,1.98200977,-0.0203794986,-0.224150881,2.45682383,-0.4632165,0.252509058,2.16716814,-0.0826157555,-0.0341822058,2.51193166,-0.385760933,0.1948481,2.43807888,-0.101573393,0.161072358,2.55419946,0,0,0,0,0,0,0,0,0,0,0,0
6,2024-08-09T18:33:57.3044353+03:30,-38,-25,161,13,16,-12,-5,78,-0.449544549,0.34593,1.982622,-0.02048287,-0.225213513,2.45620918,-0.463764429,0.252280831,2.167712,-0.0824665055,-0.0343926661,2.51207733,-0.385738224,0.194796443,2.438133,-0.1015091,0.160895064,2.553527,0,0,0,0,0,0,0,0,0,0,0,0
7,2024-08-09T18:33:57.3366974+03:30,-38,-25,161,13,16,-12,-5,78,-0.4497568,0.3456597,1.98330081,-0.0205409639,-0.225588128,2.45588279,-0.464324176,0.251992226,2.16832,-0.08236357,-0.0345124938,2.512061,-0.38575083,0.194749385,2.438229,-0.101451762,0.160791844,2.55297041,0,0,0,0,0,0,0,0,0,0,0,0
8,2024-08-09T18:33:57.3668237+03:30,-37,-25,160,13,16,-12,-5,78,-0.4499693,0.345342845,1.9839505,-0.0208158456,-0.226926684,2.45506239,-0.4648609,0.2516939,2.16891956,-0.08227381,-0.0346030481,2.51200461,-0.3857677,0.194682181,2.438333,-0.101411238,0.160711288,2.55243969,0,0,0,0,0,0,0,0,0,0,0,0
9,2024-08-09T18:33:57.4035776+03:30,-37,-25,160,13,16,-12,-5,78,-0.450168937,0.345029622,1.98457587,-0.0209100582,-0.227588534,2.45448732,-0.4653671,0.251402974,2.169497,-0.08219044,-0.0346670076,2.51186538,-0.385777682,0.194607422,2.43842888,-0.10136506,0.16064702,2.55196285,0,0,0,0,0,0,0,0,0,0,0,0
10,2024-08-09T18:33:57.4357879+03:30,-37,-25,158,12,16,-12,-6,78,-0.450351834,0.344734639,1.985156,-0.0208904333,-0.2277928,2.454104,-0.465836823,0.25112763,2.17002821,-0.0821043253,-0.0347175226,2.51169825,-0.385801,0.1945594,2.43854475,-0.101305775,0.160591319,2.55151558,0,0,0,0,0,0,0,0,0,0,0,0
11,2024-08-09T18:33:57.4678267+03:30,-37,-25,153,12,16,-12,-6,79,-0.450519145,0.3444394,1.98573565,-0.0208758321,-0.2288095,2.45349836,-0.466276884,0.250841558,2.17055273,-0.0819982,-0.0347545668,2.51155,-0.385828,0.19453223,2.438666,-0.10123691,0.160545468,2.551096,0,0,0,0,0,0,0,0,0,0,0,0
12,2024-08-09T18:33:57.5039217+03:30,-37,-25,153,12,16,-12,-6,79,-0.450666934,0.344164878,1.98629975,-0.0208955836,-0.230259091,2.45276117,-0.4666839,0.250560552,2.171053,-0.08186899,-0.0347935148,2.51140451,-0.385861158,0.194526061,2.43879437,-0.101154268,0.160494208,2.5506897,0,0,0,0,0,0,0,0,0,0,0,0
13,2024-08-09T18:33:57.5500737+03:30,-36,-26,153,12,17,-12,-6,79,-0.450789481,0.3439208,1.98680913,-0.0207918938,-0.231118888,2.452294,-0.467070431,0.25028652,2.17148328,-0.08169632,-0.0348282829,2.511249,-0.3858936,0.194534063,2.438927,-0.101063654,0.160440087,2.55029774,0,0,0,0,0,0,0,0,0,0,0,0
14,2024-08-09T18:33:57.5860194+03:30,-36,-26,152,12,17,-12,-6,79,-0.450890273,0.343697935,1.98727584,-0.0206090175,-0.231578261,2.452004,-0.467439651,0.2500173,2.171862,-0.08147614,-0.0350887142,2.51100683,-0.385922819,0.194550365,2.43905735,-0.100963742,0.160382062,2.54991651,0,0,0,0,0,0,0,0,0,0,0,0
15,2024-08-09T18:33:57.6183752+03:30,-36,-26,152,12,17,-12,-6,79,-0.4510028,0.3434513,1.98768294,-0.0206251182,-0.23262839,2.45131159,-0.467790484,0.249750525,2.17220044,-0.08123743,-0.0355738625,2.510676,-0.385918528,0.194548175,2.43916178,-0.100848377,0.160315782,2.54952264,0,0,0,0,0,0,0,0,0,0,0,0
16,2024-08-09T18:33:57.6486519+03:30,-36,-26,152,12,17,-12,-6,79,-0.451127,0.343175828,1.98803663,-0.0205443539,-0.233131275,2.450834,-0.468136072,0.24947457,2.1725,-0.08099651,-0.03595439,2.51037073,-0.385899752,0.194536015,2.439249,-0.1007251,0.160247028,2.54913235,0,0,0,0,0,0,0,0,0,0,0,0
17,2024-08-09T18:33:57.6816178+03:30,-35,-26,152,12,17,-12,-6,79,-0.451271236,0.342813641,1.988417,-0.02039091,-0.233249575,2.45052433,-0.468532354,0.249118075,2.17282653,-0.08081274,-0.0361838751,2.51004124,-0.3858878,0.194524825,2.43932748,-0.100597933,0.160183,2.54873729,0,0,0,0,0,0,0,0,0,0,0,0
18,2024-08-09T18:33:57.7147849+03:30,-35,-26,152,12,17,-12,-6,79,-0.451412439,0.342385769,1.9887768,-0.0201261211,-0.233115479,2.450505,-0.469000071,0.248716384,2.17313457,-0.080666475,-0.036307212,2.50976372,-0.385883033,0.194515631,2.439398,-0.10048382,0.160130456,2.548333,0,0,0,0,0,0,0,0,0,0,0,0
19,2024-08-09T18:33:57.7510389+03:30,-37,-27,152,12,17,-11,-6,79,-0.4515449,0.3419042,1.9891243,-0.0198042747,-0.232776344,2.450654,-0.469530344,0.2482781,2.17342973,-0.08052094,-0.03636681,2.50958347,-0.3859037,0.194512531,2.43945551,-0.100377887,0.160079867,2.5479157,0,0,0,0,0,0,0,0,0,0,0,0
20,2024-08-09T18:33:57.7810332+03:30,-37,-27,153,12,17,-11,-6,79,-0.451667935,0.341404945,1.98943174,-0.0195083283,-0.232169211,2.45091343,-0.470139682,0.24782683,2.17367435,-0.0803615749,-0.03637485,2.50952268,-0.385963529,0.1945203,2.439506,-0.10028068,0.1600401,2.547505,0,0,0,0,0,0,0,0,0,0,0,0
21,2024-08-09T18:33:57.8120924+03:30,-37,-27,153,12,17,-11,-6,79,-0.4517748,0.340912223,1.98969781,-0.0192377251,-0.231403962,2.45123172,-0.4708591,0.24737519,2.1738534,-0.08017063,-0.0363377668,2.50961375,-0.386073142,0.194533408,2.43955469,-0.100194834,0.160018057,2.5471108,0,0,0,0,0,0,0,0,0,0,0,0
22,2024-08-09T18:33:57.8443254+03:30,-35,-28,153,12,18,-11,-6,79,-0.451870859,0.340427458,1.98993552,-0.0190000217,-0.230534256,2.4515748,-0.471677572,0.246933192,2.173986,-0.07995327,-0.03626077,2.50982928,-0.3862164,0.194547519,2.439598,-0.100120835,0.160018146,2.54673767,0,0,0,0,0,0,0,0,0,0,0,0
23,2024-08-09T18:33:57.8804592+03:30,-35,-28,149,13,18,-11,-6,80,-0.4519843,0.33993113,1.99009919,-0.0187915564,-0.229615346,2.45191884,-0.4725857,0.246487021,2.17411447,-0.07972725,-0.036125306,2.510119,-0.386383533,0.194562748,2.4396348,-0.1000673,0.1600656,2.54639149,0,0,0,0,0,0,0,0,0,0,0,0
24,2024-08-09T18:33:57.9160720+03:30,-35,-29,149,13,18,-11,-6,80,-0.4521051,0.339468062,1.990159,-0.018604761,-0.228697523,2.45223832,-0.473611474,0.245943055,2.17443728,-0.07949425,-0.0359395444,2.51044655,-0.386567235,0.194575861,2.43966627,-0.1000376,0.160155728,2.54605412,0,0,0,0,0,0,0,0,0,0,0,0
25,2024-08-09T18:33:57.9456703+03:30,-34,-29,149,13,18,-11,-6,80,-0.452369571,0.3388219,1.99056208,-0.018434016,-0.2278062,2.45251942,-0.474715054,0.245290518,2.17497754,-0.07926408,-0.0357204638,2.510774,-0.386789173,0.194607034,2.43971252,-0.100022465,0.1602754,2.545743,0,0,0,0,0,0,0,0,0,0,0,0
26,2024-08-09T18:33:57.9808276+03:30,-34,-29,149,13,18,-11,-6,80,-0.452660084,0.338185042,1.990989,-0.0182775743,-0.226960585,2.45275784,-0.4758592,0.2445702,2.175673,-0.07904425,-0.0354537368,2.51106119,-0.387047768,0.194641545,2.439773,-0.100030467,0.160440221,2.545435,0,0,0,0,0,0,0,0,0,0,0,0
27,2024-08-09T18:33:58.0126872+03:30,-33,-30,149,13,19,-11,-6,80,-0.4530104,0.337471962,1.99160981,-0.01815293,-0.22616376,2.45295143,-0.477064461,0.24377574,2.17647815,-0.0788417757,-0.0351602957,2.51128054,-0.387326,0.1946678,2.43983936,-0.10005682,0.160631135,2.54513144,0,0,0,0,0,0,0,0,0,0,0,0
28,2024-08-09T18:33:58.0517501+03:30,-34,-31,148,13,19,-10,-6,80,-0.453400016,0.336688071,1.99250424,-0.0180499535,-0.2254361,2.453083,-0.478346229,0.242903709,2.177362,-0.07867494,-0.0348481,2.51136374,-0.387649983,0.194692254,2.439967,-0.100097544,0.16084139,2.54482913,0,0,0,0,0,0,0,0,0,0,0,0
29,2024-08-09T18:33:58.0826706+03:30,-34,-31,149,13,19,-10,-6,80,-0.453812242,0.335849,1.99360025,-0.01798732,-0.224748909,2.4531343,-0.4797173,0.241946161,2.178287,-0.07858528,-0.0345233753,2.51115727,-0.388021082,0.194656327,2.44009233,-0.100145608,0.161059693,2.54453564,0,0,0,0,0,0,0,0,0,0,0,0
30,2024-08-09T18:33:58.1172388+03:30,-34,-31,149,13,19,-10,-6,80,-0.4542192,0.3349884,1.99481428,-0.0179588571,-0.224094823,2.45312715,-0.481158942,0.240931422,2.17920351,-0.07853057,-0.0342409238,2.510869,-0.3884279,0.194571957,2.44021034,-0.1001967,0.161284253,2.54425335,0,0,0,0,0,0,0,0,0,0,0,0
31,2024-08-09T18:33:58.1495424+03:30,-33,-32,149,13,20,-10,-6,80,-0.454569131,0.334040016,1.99619758,-0.0179680251,-0.223481134,2.45306516,-0.4827196,0.239771426,2.18014884,-0.07848333,-0.034032464,2.51059222,-0.3888586,0.194451258,2.440319,-0.100249261,0.161511749,2.54397464,0,0,0,0,0,0,0,0,0,0,0,0
32,2024-08-09T18:33:58.1872742+03:30,-33,-33,149,13,20,-10,-6,80,-0.4549135,0.3329483,1.997813,-0.0180084389,-0.222894683,2.452968,-0.484425932,0.238420382,2.18121481,-0.0784435943,-0.0339015,2.51033139,-0.389318466,0.194314614,2.440421,-0.100296907,0.16173467,2.543706,0,0,0,0,0,0,0,0,0,0,0,0
33,2024-08-09T18:33:58.2166751+03:30,-34,-34,149,13,20,-9,-6,80,-0.455250025,0.331724584,1.99960172,-0.0180634074,-0.222356409,2.45283413,-0.486270845,0.236929223,2.182378,-0.07840189,-0.03384114,2.51009631,-0.389807463,0.194155872,2.44050956,-0.100339539,0.161950514,2.54344845,0,0,0,0,0,0,0,0,0,0,0,0
34,2024-08-09T18:33:58.2501651+03:30,-33,-35,149,13,21,-9,-6,80,-0.4555997,0.3303747,2.00155234,-0.0181384478,-0.221866965,2.45265055,-0.48824355,0.235311553,2.18364763,-0.07838807,-0.03370872,2.50973034,-0.390283048,0.1939339,2.44052219,-0.100376479,0.16215837,2.54320741,0,0,0,0,0,0,0,0,0,0,0,0
