FrameNumber,Timestamp,LeftElbowYaw,LeftElbowRoll,RightElbowYaw,RightElbowRoll,LeftShoulderRoll,LeftShoulderPitch,RightShoulderRoll,RightShoulderPitch,LeftWristX,LeftWristY,LeftWristZ,RightWristX,RightWristY,RightWristZ,LeftElbowX,LeftElbowY,LeftElbowZ,RightElbowX,RightElbowY,RightElbowZ,LeftShoulderX,LeftShoulderY,LeftShoulderZ,RightShoulderX,RightShoulderY,RightShoulderZ,LeftWristColorX,LeftWristColorY,RightWristColorX,RightWristColorY,LeftElbowColorX,LeftElbowColorY,RightElbowColorX,RightElbowColorY,LeftShoulderColorX,LeftShoulderColorY,RightShoulderColorX,RightShoulderColorY,origin_x,origin_y,goal_x,goal_y
1,2024-08-09T18:35:25.9069046+03:30,-39,-21,17,16,24,-8,-17,82,-0.513606548,0.310495377,1.98952532,-0.0374954343,-0.209639877,2.464973,-0.4873256,0.2367879,2.18031573,-0.04272477,-0.0161629654,2.50798488,-0.374819219,0.201755822,2.43278551,-0.103390135,0.180235952,2.53666735,0,0,0,0,0,0,0,0,0,0,0,0,160.04647827148438,347.7211303710937,242.20001220703125,337.3533935546875
2,2024-08-09T18:35:25.9293868+03:30,-39,-21,17,16,24,-8,-17,82,-0.5141736,0.3106296,1.98887622,-0.037797682,-0.209566265,2.46474576,-0.487332225,0.237349659,2.17976046,-0.0427522138,-0.0161105935,2.50795269,-0.374850869,0.201868087,2.43284869,-0.10359925,0.18027547,2.5362792,0,0,0,0,0,0,0,0,0,0,0,0,160.25216674804688,347.6986083984375,242.04928588867188,337.30810546875
3,2024-08-09T18:35:25.9580304+03:30,-39,-21,17,16,24,-8,-17,82,-0.514614046,0.310745746,1.98840535,-0.0380874649,-0.20949772,2.46452451,-0.487291545,0.237911984,2.17940187,-0.04277191,-0.01606333,2.507927,-0.374874055,0.20195958,2.43289757,-0.103787929,0.180374011,2.53597021,0,0,0,0,0,0,0,0,0,0,0,0,160.13648986816406,347.79473876953125,241.9466552734375,337.29962158203125
4,2024-08-09T18:35:25.9916672+03:30,-39,-20,17,17,24,-8,-17,82,-0.514949858,0.3108955,1.98807657,-0.03867206,-0.209514335,2.46396518,-0.487192035,0.238444462,2.17916775,-0.0423981063,-0.0162568763,2.50827956,-0.374893218,0.202034742,2.4329443,-0.10389366,0.1804507,2.5357697,0,0,0,0,0,0,0,0,0,0,0,0,160.1181640625,347.99444580078125,242.28598022460935,337.2752685546875
5,2024-08-09T18:35:26.0237704+03:30,-39,-20,18,17,24,-8,-17,82,-0.5152126,0.311030328,1.98792243,-0.0392921232,-0.20956409,2.46336126,-0.4870275,0.238924235,2.17909384,-0.04193998,-0.0165112242,2.50870967,-0.3749093,0.20210126,2.43298435,-0.103877507,0.180447683,2.53566575,0,0,0,0,0,0,0,0,0,0,0,0,160.0879364013672,347.714111328125,242.23291015625,337.4375
6,2024-08-09T18:35:26.0544528+03:30,-39,-20,19,17,24,-8,-17,82,-0.5155998,0.311165571,1.9878906,-0.0398172773,-0.209596008,2.46283817,-0.4868454,0.239353478,2.179094,-0.0415302,-0.0167126581,2.50907373,-0.3749222,0.202160656,2.43301773,-0.103795052,0.1803553,2.535554,0,0,0,0,0,0,0,0,0,0,0,0,160.0829620361328,347.9488525390625,242.10379028320312,337.23468017578125
7,2024-08-09T18:35:26.0886288+03:30,-39,-20,19,18,24,-8,-17,82,-0.5160124,0.3113121,1.98733175,-0.0402176119,-0.209590048,2.46242452,-0.486657768,0.239733741,2.17916822,-0.041236233,-0.0168241449,2.509318,-0.37493223,0.2022053,2.43302846,-0.103663921,0.180254564,2.535528,0,0,0,0,0,0,0,0,0,0,0,0,160.10711669921875,347.9667663574219,242.05865478515625,337.2481994628906
8,2024-08-09T18:35:26.1186727+03:30,-41,-19,19,18,23,-8,-17,82,-0.516451,0.311327964,1.98709154,-0.040518716,-0.209539935,2.462105,-0.486475825,0.240081564,2.17928529,-0.0410318971,-0.0168538112,2.50948215,-0.37494126,0.202258691,2.43303943,-0.103481017,0.18014206,2.53559732,0,0,0,0,0,0,0,0,0,0,0,0,160.18252563476562,347.6658630371094,241.89263916015625,337.3741455078125
9,2024-08-09T18:35:26.1548392+03:30,-38,-18,20,18,23,-9,-17,82,-0.5167758,0.3114445,1.98680079,-0.04072905,-0.20947279,2.46184444,-0.486283958,0.240406841,2.17943215,-0.0408876,-0.0168420672,2.509586,-0.374937147,0.20228669,2.4330225,-0.103206582,0.179924488,2.535679,0,0,0,0,0,0,0,0,0,0,0,0,160.21810913085938,347.650390625,242.04898071289065,337.46441650390625
10,2024-08-09T18:35:26.1855600+03:30,-37,-19,20,18,24,-9,-17,82,-0.5170248,0.311608285,1.9865135,-0.0408552662,-0.20939976,2.46165085,-0.486340731,0.240261167,2.180065,-0.0408097133,-0.0167985149,2.50961924,-0.374934316,0.202304259,2.43298721,-0.102906391,0.179666877,2.53572822,0,0,0,0,0,0,0,0,0,0,0,0,160.19833374023438,347.7583312988281,242.4558563232422,337.36431884765625
11,2024-08-09T18:35:26.2203342+03:30,-39,-20,20,18,24,-8,-17,82,-0.5172217,0.311788917,1.98626018,-0.0409013666,-0.209293678,2.46152353,-0.486632347,0.23997356,2.18065715,-0.04079107,-0.0166962352,2.509576,-0.374936074,0.202318072,2.43293834,-0.102647722,0.179451108,2.53574157,0,0,0,0,0,0,0,0,0,0,0,0,160.12448120117188,347.8690185546875,242.2450256347656,337.42852783203125
12,2024-08-09T18:35:26.2539873+03:30,-39,-20,20,18,24,-8,-17,82,-0.517363131,0.3118648,1.98633885,-0.04088284,-0.209163964,2.461449,-0.4869343,0.239783317,2.18117547,-0.04082195,-0.016549509,2.50946331,-0.3749521,0.202365026,2.43290734,-0.102450147,0.179267168,2.53564668,0,0,0,0,0,0,0,0,0,0,0,0,160.1693878173828,347.92071533203125,241.8681182861328,337.48944091796875
13,2024-08-09T18:35:26.2861574+03:30,-39,-20,20,18,24,-8,-17,82,-0.5175059,0.3119022,1.98659575,-0.0408323444,-0.20903255,2.46140265,-0.487193137,0.239730224,2.18162012,-0.04087209,-0.0163901541,2.50931263,-0.374976754,0.202431262,2.43288875,-0.102301106,0.17911455,2.5354774,0,0,0,0,0,0,0,0,0,0,0,0,160.2301025390625,347.59588623046875,241.89642333984372,337.3382263183594
14,2024-08-09T18:35:26.3216371+03:30,-39,-20,20,18,24,-8,-17,82,-0.5176642,0.311946154,1.98687041,-0.040794827,-0.2089021,2.461323,-0.4873976,0.239809215,2.18192363,-0.0409376621,-0.0162310489,2.50911951,-0.375007719,0.202507973,2.4328773,-0.102185287,0.178985447,2.53526926,0,0,0,0,0,0,0,0,0,0,0,0,160.1551513671875,347.8089599609375,242.16305541992188,337.3669128417969
15,2024-08-09T18:35:26.3536259+03:30,-39,-20,20,18,24,-8,-17,82,-0.5178257,0.312031746,1.98710632,-0.0407614224,-0.208775222,2.46122813,-0.487644047,0.239939317,2.182077,-0.0410207324,-0.01607271,2.508891,-0.3750436,0.202590778,2.43286967,-0.102108695,0.1788927,2.5350287,0,0,0,0,0,0,0,0,0,0,0,0,160.06210327148438,347.60333251953125,241.8647918701172,337.3604736328125
16,2024-08-09T18:35:26.3865811+03:30,-39,-20,19,18,24,-8,-17,82,-0.517985344,0.312173367,1.98731649,-0.04073625,-0.208653927,2.46111059,-0.48795113,0.240075722,2.18212223,-0.0411148444,-0.0159193147,2.50863361,-0.375081271,0.202672914,2.43286371,-0.102060065,0.17883338,2.53475928,0,0,0,0,0,0,0,0,0,0,0,0,160.2730712890625,347.7372436523437,241.9588623046875,337.2877197265625
17,2024-08-09T18:35:26.4227840+03:30,-39,-20,19,18,24,-8,-17,82,-0.518131435,0.312397569,1.987504,-0.04068072,-0.208614156,2.46095872,-0.488307118,0.240209058,2.18207979,-0.0411538,-0.01584569,2.50833178,-0.3751323,0.202741563,2.43283677,-0.102033973,0.178800344,2.53446722,0,0,0,0,0,0,0,0,0,0,0,0,160.29022216796875,347.90679931640625,241.87863159179688,337.28082275390625
18,2024-08-09T18:35:26.4571506+03:30,-36,-19,19,18,24,-9,-17,82,-0.518259943,0.312794775,1.9876641,-0.0406336635,-0.208620563,2.4607923,-0.488727659,0.240345612,2.18193126,-0.0411718376,-0.015814431,2.50799537,-0.375175178,0.202798277,2.43279719,-0.102034152,0.178804338,2.53415513,0,0,0,0,0,0,0,0,0,0,0,0,159.9774932861328,347.60498046875,242.2618408203125,337.2756042480469
19,2024-08-09T18:35:26.4875104+03:30,-37,-19,19,18,24,-9,-17,82,-0.5183529,0.313348323,1.987799,-0.04059388,-0.208662465,2.46062565,-0.489190161,0.240486637,2.181698,-0.04116514,-0.0158142466,2.5076375,-0.3752113,0.202847958,2.4327457,-0.102067649,0.178850308,2.533804,0,0,0,0,0,0,0,0,0,0,0,0,160.07376098632812,347.8183898925781,242.02947998046875,337.4464111328125
20,2024-08-09T18:35:26.5230189+03:30,-37,-20,19,18,24,-9,-17,82,-0.5184328,0.313993961,1.98791826,-0.0405864567,-0.208707824,2.46046853,-0.489669025,0.240630984,2.18141937,-0.0411591567,-0.0158127658,2.50726581,-0.3752416,0.202900365,2.43269086,-0.102116734,0.178901151,2.53339958,0,0,0,0,0,0,0,0,0,0,0,0,160.07235717773438,347.89654541015625,242.06869506835935,337.25421142578125
21,2024-08-09T18:35:26.5553832+03:30,-37,-20,19,18,24,-9,-17,82,-0.5185062,0.3147506,1.98804724,-0.04061343,-0.208756059,2.46032071,-0.4901478,0.2407825,2.181114,-0.0411672667,-0.01580981,2.506881,-0.3752631,0.202944845,2.43262482,-0.102136686,0.178879425,2.53296876,0,0,0,0,0,0,0,0,0,0,0,0,160.09930419921875,347.9593505859375,241.96047973632807,337.47039794921875
22,2024-08-09T18:35:26.5888664+03:30,-38,-20,18,18,24,-9,-17,82,-0.5185812,0.31555894,1.988178,-0.0406802148,-0.2088186,2.46016955,-0.4906162,0.240935922,2.18079877,-0.0411693826,-0.0158210751,2.506495,-0.375276923,0.2029843,2.43255162,-0.102143146,0.178820342,2.53252387,0,0,0,0,0,0,0,0,0,0,0,0,160.20736694335938,347.836669921875,242.0969696044922,337.332275390625
23,2024-08-09T18:35:26.6220406+03:30,-38,-20,18,18,24,-9,-17,82,-0.518687069,0.316385061,1.98830354,-0.04079486,-0.208914861,2.460009,-0.4910884,0.241079956,2.18047643,-0.04113555,-0.0158691537,2.5061152,-0.37528643,0.2030051,2.432447,-0.102111347,0.17869246,2.53206968,0,0,0,0,0,0,0,0,0,0,0,0,160.15504455566406,347.8326416015625,242.010498046875,337.3086242675781
24,2024-08-09T18:35:26.6548114+03:30,-37,-21,18,18,25,-9,-17,82,-0.5188167,0.317208648,1.98840988,-0.04094574,-0.209027082,2.459834,-0.491565,0.241216183,2.18014383,-0.04107139,-0.0159387346,2.50575018,-0.375300735,0.203017011,2.43231487,-0.102068275,0.178532466,2.53159547,0,0,0,0,0,0,0,0,0,0,0,0,160.08477783203125,348.04705810546875,242.1457061767578,337.3602600097656
25,2024-08-09T18:35:26.6900965+03:30,-37,-21,18,18,25,-9,-17,82,-0.518946767,0.3179497,1.98851633,-0.0411289223,-0.209140375,2.45964,-0.492073864,0.241297916,2.17984271,-0.0409845971,-0.016016718,2.505405,-0.375333428,0.203030288,2.43215585,-0.10202048,0.178365976,2.53111649,0,0,0,0,0,0,0,0,0,0,0,0,160.2662353515625,347.9122314453125,242.0177001953125,337.41632080078125
