FrameNumber,Timestamp,LeftWristX,LeftWristY,LeftWristZ,RightWristX,RightWristY,RightWristZ,LeftElbowX,LeftElbowY,LeftElbowZ,RightElbowX,RightElbowY,RightElbowZ,LeftShoulderX,LeftShoulderY,LeftShoulderZ,RightShoulderX,RightShoulderY,RightShoulderZ
2,2024-08-09T18:35:25.9069046+03:30,-0.513606548,0.310495377,1.98952532,-0.0374954343,-0.209639877,2.464973,-0.4873256,0.2367879,2.18031573,-0.04272477,-0.0161629654,2.50798488,-0.374819219,0.201755822,2.43278551,-0.103390135,0.180235952,2.53666735
3,2024-08-09T18:35:25.9293868+03:30,-0.5141736032688123,0.31062960922360855,1.9888762649830551,-0.037797683438996074,-0.20956626014255084,2.4647458317485498,-0.4873322200276854,0.2373496556305348,2.179760483402073,-0.04275221531590083,-0.01611059410534084,2.507952666315474,-0.3748508611352123,0.20186808874975834,2.4328487370150453,-0.10359924821956648,0.18027546725212268,2.5362791384379277
4,2024-08-09T18:35:25.9580304+03:30,-0.5146140519701147,0.31074574014356754,1.988405304131642,-0.03808746650918714,-0.20949772226963853,2.4645245257052806,-0.4872915318455763,0.23791198953966455,2.1794018220364477,-0.042771908731620636,-0.016063330719377295,2.5079269105817255,-0.3748740620193408,0.20195957354204502,2.432897501507209,-0.10378792819879988,0.1803740147204777,2.535970170353369
5,2024-08-09T18:35:25.9916672+03:30,-0.5149498661144521,0.3108954947412985,1.988076526709916,-0.03867205845690731,-0.2095143391664078,2.463965268816545,-0.4871920387456422,0.2384444694863202,2.179167766545398,-0.042398105838710114,-0.016256876991190668,2.5082795339041044,-0.37489323124055945,0.20203473694680602,2.4329443084905438,-0.10389366063277647,0.18045068600927786,2.5357697412095788
6,2024-08-09T18:35:26.0237704+03:30,-0.5152125998007169,0.3110303310808769,1.9879224375658897,-0.03929212246261264,-0.20956408399346446,2.4633612711884014,-0.4870275036217879,0.23892424102125986,2.1790938672415257,-0.041939979469961496,-0.016511224837404664,2.5087096847594332,-0.3749092983660542,0.20210125397605622,2.4329842555189236,-0.1038775071582575,0.18044768105959527,2.5356656368960824
7,2024-08-09T18:35:26.0544528+03:30,-0.5155998001924195,0.31116556481855384,1.9878906350179617,-0.03981727640888838,-0.20959601020387353,2.462838094099446,-0.48684540512510793,0.23935347703122156,2.1790941653563944,-0.04153020099341538,-0.016712657181913174,2.5090737750466388,-0.3749221940716689,0.20216065815415513,2.4330178050835936,-0.10379505508873361,0.18035529431657238,2.5355539431820366
8,2024-08-09T18:35:26.0886288+03:30,-0.5160123547029338,0.31131212311297485,1.9873317716181023,-0.040217612106087694,-0.20959005197845781,2.4624246180759406,-0.48665776028354923,0.2397337378292021,2.1791681742605347,-0.04123623128020187,-0.016824144987525505,2.50931817648275,-0.37493223890830013,0.2022053013454017,2.433028560061078,-0.10366392469704343,0.1802545671266968,2.5355279185656436
9,2024-08-09T18:35:26.1186727+03:30,-0.5164510214144497,0.31132795183820494,1.9870915814980679,-0.04051871705488888,-0.20953992889657422,2.46210494648059,-0.4864758314892285,0.2400815630651345,2.1792853815084468,-0.04103189632186597,-0.01685381163184978,2.509482116076557,-0.3749412502344128,0.20225869041773376,2.4330394609395456,-0.10348101759131495,0.1801420587521841,2.535597380582267
10,2024-08-09T18:35:26.1548392+03:30,-0.5167757908080183,0.31144448568579164,1.9868007522587279,-0.040729050406196794,-0.20947278615590928,2.461844506159626,-0.4862839696185271,0.24040684436878157,2.179432058293343,-0.04088760052484302,-0.016842067721935024,2.509586127110756,-0.37493716163484525,0.20228669696436957,2.433022485888611,-0.10320658251420763,0.1799244814264794,2.5356790736749297
11,2024-08-09T18:35:26.1855600+03:30,-0.517024794677312,0.3116082953234357,1.9865135047435087,-0.040855266792523756,-0.2093997598937183,2.4616509117018768,-0.4863407249329315,0.24026117105565137,2.1800648081584977,-0.040809713275408104,-0.016798515491294082,2.5096192060014673,-0.3749343174161156,0.20230425422687898,2.4329873233203134,-0.10290639385222294,0.17966688098156774,2.5357281135689225
