FrameNumber,Timestamp,LeftElbowYaw,LeftElbowRoll,RightElbowYaw,RightElbowRoll,LeftShoulderRoll,LeftShoulderPitch,RightShoulderRoll,RightShoulderPitch,LeftWristX,LeftWristY,LeftWristZ,RightWristX,RightWristY,RightWristZ,LeftElbowX,LeftElbowY,LeftElbowZ,RightElbowX,RightElbowY,RightElbowZ,LeftShoulderX,LeftShoulderY,LeftShoulderZ,RightShoulderX,RightShoulderY,RightShoulderZ,LeftWristColorX,LeftWristColorY,RightWristColorX,RightWristColorY,LeftElbowColorX,LeftElbowColorY,RightElbowColorX,RightElbowColorY,LeftShoulderColorX,LeftShoulderColorY,RightShoulderColorX,RightShoulderColorY,origin_x,origin_y,goal_x,goal_y
1,2024-08-09T16:58:35.2236765+03:30,-29,-26,124,10,30,-7,-17,97,-0.399984568,0.325263321,1.996751,0.237334147,-0.2578262,2.50365114,-0.376125544,0.255137026,2.19380522,0.140081868,-0.0239681844,2.51319933,-0.260493,0.231116027,2.38893628,0.06751253,0.21765326,2.48403716,0,0,0,0,0,0,0,0,0,0,0,0,193.30795288085938,347.012939453125,280.2492370605469,338.54669189453125
2,2024-08-09T16:58:35.2885777+03:30,-29,-26,122,11,30,-7,-17,97,-0.39990595,0.325234652,1.99725926,0.237675726,-0.259746224,2.50109649,-0.375937521,0.2550062,2.19424868,0.140008777,-0.0243037716,2.51373458,-0.2605641,0.231182888,2.38906026,0.06763932,0.217545,2.48401642,0,0,0,0,0,0,0,0,0,0,0,0,193.25286865234375,347.24420166015625,279.4986572265625,338.58203125
3,2024-08-09T16:58:35.3524788+03:30,-29,-26,121,11,30,-7,-17,97,-0.399818629,0.32501483,1.99814427,0.237746,-0.260994166,2.49981666,-0.3757154,0.2547001,2.195067,0.14006564,-0.02468882,2.5141468,-0.2606782,0.231243491,2.389182,0.06776597,0.217430785,2.484019,0,0,0,0,0,0,0,0,0,0,0,0,193.2324981689453,346.93719482421875,279.90325927734375,338.615234375
4,2024-08-09T16:58:35.3891959+03:30,-30,-26,119,12,30,-7,-17,97,-0.399779916,0.324898928,1.99869883,0.23797743,-0.261815161,2.49740672,-0.375586063,0.254521221,2.19557548,0.140163481,-0.0248726122,2.51428366,-0.2607604,0.231272787,2.38925529,0.0678154752,0.217376277,2.48401952,0,0,0,0,0,0,0,0,0,0,0,0,193.12545776367188,346.955322265625,279.7151794433594,338.49755859375
5,2024-08-09T16:58:35.4209379+03:30,-30,-26,118,12,30,-7,-17,97,-0.399754971,0.32476455,1.99926281,0.2382292,-0.262569219,2.494893,-0.3754563,0.25434202,2.19609714,0.140292615,-0.0250058081,2.51437783,-0.260862619,0.231305853,2.3893404,0.0678478554,0.217342451,2.48401666,0,0,0,0,0,0,0,0,0,0,0,0,193.42691040039062,346.76025390625,279.6796875,338.544189453125
6,2024-08-09T16:58:35.4527918+03:30,-30,-26,117,13,30,-7,-17,97,-0.3997497,0.324587554,1.99984968,0.2384824,-0.263225555,2.49247932,-0.375325024,0.254152536,2.19665,0.140440986,-0.025100043,2.514449,-0.260994941,0.231348366,2.38943887,0.0678233,0.217382535,2.484033,0,0,0,0,0,0,0,0,0,0,0,0,193.31802368164062,346.8194274902344,279.88800048828125,338.4934997558594
7,2024-08-09T16:58:35.4883792+03:30,-30,-26,116,13,30,-7,-17,97,-0.399775922,0.324366629,2.00044584,0.238711938,-0.2637714,2.49021053,-0.3751961,0.253956169,2.19722056,0.140608057,-0.02514672,2.51450372,-0.26114586,0.231400236,2.38954926,0.0677606538,0.217468157,2.48405457,0,0,0,0,0,0,0,0,0,0,0,0,193.20162963867188,346.7015380859375,279.9830627441406,338.607666015625
8,2024-08-09T16:58:35.5223436+03:30,-30,-26,115,13,30,-7,-17,97,-0.39986372,0.324078768,2.001,0.238820374,-0.2642821,2.48904085,-0.375070781,0.253779024,2.19777036,0.140719175,-0.0248843729,2.51450372,-0.261324435,0.231462628,2.389677,0.06767443,0.2175802,2.48406935,0,0,0,0,0,0,0,0,0,0,0,0,193.30538940429688,346.5594482421875,279.5852355957031,338.5646667480469
9,2024-08-09T16:58:35.5529303+03:30,-29,-26,114,13,30,-7,-17,97,-0.400170952,0.3236533,2.00091743,0.23889026,-0.264826417,2.488609,-0.374952883,0.253627658,2.198301,0.140932262,-0.0246589947,2.51447225,-0.261532545,0.231538117,2.38982415,0.06756676,0.217711583,2.484075,0,0,0,0,0,0,0,0,0,0,0,0,193.3550567626953,346.6142578125,279.5743103027344,338.5661315917969
10,2024-08-09T16:58:35.5898874+03:30,-29,-26,114,13,30,-7,-17,97,-0.400624156,0.3231582,2.000406,0.238930941,-0.2653429,2.48847318,-0.374883384,0.253469229,2.19883275,0.141125813,-0.02430981,2.51443458,-0.261768848,0.231628239,2.38999,0.067437686,0.217866734,2.48407555,0,0,0,0,0,0,0,0,0,0,0,0,193.33447265625,346.796630859375,279.9520568847656,338.5190734863281
