FrameNumber,Timestamp,LeftElbowYaw,LeftElbowRoll,RightElbowYaw,RightElbowRoll,LeftShoulderRoll,LeftShoulderPitch,RightShoulderRoll,RightShoulderPitch,LeftWristX,LeftWristY,LeftWristZ,RightWristX,RightWristY,RightWristZ,LeftElbowX,LeftElbowY,LeftElbowZ,RightElbowX,RightElbowY,RightElbowZ,LeftShoulderX,LeftShoulderY,LeftShoulderZ,RightShoulderX,RightShoulderY,RightShoulderZ,LeftWristColorX,LeftWristColorY,RightWristColorX,RightWristColorY,LeftElbowColorX,LeftElbowColorY,RightElbowColorX,RightElbowColorY,LeftShoulderColorX,LeftShoulderColorY,RightShoulderColorX,RightShoulderColorY,origin_x,origin_y,goal_x,goal_y
1,2024-08-09T18:35:57.9390847+03:30,-29,-21,46,15,21,-11,-16,83,-0.488530457,0.317473352,1.98010969,-0.02830091,-0.212963119,2.43162775,-0.4791588,0.241441011,2.17844176,-0.04692564,-0.02249005,2.49296165,-0.380988359,0.191980764,2.43113923,-0.1015781,0.168965548,2.51669526,0,0,0,0,0,0,0,0,0,0,0,0,166.52427673339844,346.978759765625,242.09429931640625,337.38909912109375
2,2024-08-09T18:35:57.9619798+03:30,-29,-21,46,16,21,-11,-16,83,-0.488308072,0.317580372,1.98018646,-0.02965233,-0.212663054,2.43080568,-0.479148567,0.241536573,2.17819881,-0.0469629019,-0.0223476626,2.49295735,-0.380830348,0.191898644,2.43090343,-0.101565935,0.168927059,2.51661658,0,0,0,0,0,0,0,0,0,0,0,0,166.55755615234375,347.30133056640625,242.0164794921875,337.4998779296875
3,2024-08-09T18:35:57.9921724+03:30,-29,-21,45,16,21,-11,-16,83,-0.488080263,0.317644238,1.98035109,-0.0313443169,-0.21230419,2.42962146,-0.4791339,0.241623387,2.17797947,-0.04702313,-0.0222409517,2.49288177,-0.380663663,0.191805154,2.43068576,-0.10154932,0.168889016,2.51654124,0,0,0,0,0,0,0,0,0,0,0,0,166.45639038085938,347.65069580078125,241.93563842773438,337.42230224609375
4,2024-08-09T18:35:58.0266230+03:30,-29,-21,45,17,21,-11,-16,83,-0.48786062,0.317725331,1.98047245,-0.0329117,-0.211962968,2.42837477,-0.47911,0.241702646,2.17779922,-0.0470770374,-0.0221800972,2.49277687,-0.3805162,0.191721037,2.43049765,-0.101543292,0.168823391,2.51640058,0,0,0,0,0,0,0,0,0,0,0,0,166.28111267089844,347.35748291015625,241.57009887695312,337.38006591796875
5,2024-08-09T18:35:58.0616106+03:30,-29,-21,45,17,21,-11,-16,83,-0.487617671,0.317833245,1.98056972,-0.0342935659,-0.211625576,2.42720461,-0.479071349,0.241782174,2.17766762,-0.0471295342,-0.0221109241,2.49265838,-0.3803835,0.1916425,2.43031549,-0.101577364,0.1687725,2.51618242,0,0,0,0,0,0,0,0,0,0,0,0,166.3563995361328,347.3020324707031,241.67967224121094,337.3652648925781
6,2024-08-09T18:35:58.0929938+03:30,-29,-21,45,18,21,-11,-16,83,-0.4873567,0.317986131,1.98066533,-0.03550138,-0.211323842,2.426149,-0.479029179,0.241882,2.177545,-0.04717272,-0.0220560357,2.49254322,-0.380271852,0.191573218,2.43014956,-0.101613641,0.168718323,2.51593375,0,0,0,0,0,0,0,0,0,0,0,0,166.31912231445312,347.5948486328125,241.99044799804688,337.34515380859375
7,2024-08-09T18:35:58.1290498+03:30,-29,-21,45,18,21,-11,-16,83,-0.487122446,0.318182558,1.980855,-0.0366327837,-0.211020544,2.425121,-0.478998482,0.241995737,2.17743278,-0.04721132,-0.02199812,2.49241138,-0.380188018,0.191515654,2.42998385,-0.101652555,0.168676361,2.51567054,0,0,0,0,0,0,0,0,0,0,0,0,166.220947265625,347.35382080078125,242.1400146484375,337.3389892578125
8,2024-08-09T18:35:58.1599357+03:30,-29,-21,45,18,21,-11,-16,83,-0.4868606,0.318486422,1.98114336,-0.03780674,-0.210729167,2.42398643,-0.478973985,0.242127538,2.17736077,-0.047276888,-0.021967506,2.4921782,-0.380127251,0.1914553,2.42981362,-0.101681985,0.1686257,2.515394,0,0,0,0,0,0,0,0,0,0,0,0,166.47879028320312,347.7311096191406,241.64532470703125,337.35943603515625
9,2024-08-09T18:35:58.1921948+03:30,-29,-21,45,19,21,-11,-16,83,-0.486590058,0.318855,1.98150671,-0.0389066339,-0.210441723,2.422874,-0.4789656,0.242296755,2.177354,-0.0472726971,-0.02192991,2.49190116,-0.380087972,0.191382751,2.42964029,-0.101699762,0.168571949,2.51511884,0,0,0,0,0,0,0,0,0,0,0,0,166.4710693359375,347.48406982421875,241.78756713867188,337.54925537109375
10,2024-08-09T18:35:58.2300086+03:30,-30,-22,45,19,21,-11,-16,83,-0.4863169,0.3192466,1.98194134,-0.0399273969,-0.2101638,2.42180586,-0.4789848,0.2425107,2.17744064,-0.04722512,-0.02189174,2.49160886,-0.380105466,0.1913449,2.42952371,-0.101708271,0.16851452,2.51484156,0,0,0,0,0,0,0,0,0,0,0,0,166.32989501953125,347.40667724609375,241.61203002929688,337.3317565917969
