FrameNumber,Timestamp,LeftWristX,LeftWristY,LeftWristZ,RightWristX,RightWristY,RightWristZ,LeftElbowX,LeftElbowY,LeftElbowZ,RightElbowX,RightElbowY,RightElbowZ,LeftShoulderX,LeftShoulderY,LeftShoulderZ,RightShoulderX,RightShoulderY,RightShoulderZ
2,2024-08-09T18:35:57.9390847+03:30,-0.488530457,0.317473352,1.98010969,-0.02830091,-0.212963119,2.43162775,-0.4791588,0.241441011,2.17844176,-0.04692564,-0.02249005,2.49296165,-0.380988359,0.191980764,2.43113923,-0.1015781,0.168965548,2.51669526
3,2024-08-09T18:35:57.9619798+03:30,-0.488308086648897,0.317580372851179,1.9801864473652342,-0.02965232981453107,-0.2126630571169458,2.430805592885943,-0.4791485543005249,0.24153656621033018,2.178198796295192,-0.04696290345831892,-0.022347663254313633,2.4929574562945773,-0.38083035775808954,0.1918986427097463,2.430903337836791,-0.1015659317251528,0.16892705229542312,2.5166165890997165
4,2024-08-09T18:35:57.9921724+03:30,-0.488080249259541,0.3176442325347934,1.9803511215441978,-0.031344316140170345,-0.21230419701375755,2.429621532886431,-0.4791338906040102,0.24162338484944337,2.1779794601168136,-0.04702313050406006,-0.02224095223643486,2.492881829441773,-0.3806636569194917,0.19180515925848926,2.430685643973705,-0.10154932154580555,0.16888901661237246,2.5165413203498685
5,2024-08-09T18:35:58.0266230+03:30,-0.4878606144566323,0.3177253348385811,1.9804724640172033,-0.032911697589567156,-0.21196296601193623,2.4283748705186263,-0.47911000635420614,0.2417026502515793,2.17779920916705,-0.04707703836036175,-0.022180096643436335,2.492776954490384,-0.3805162104832119,0.1917210383036252,2.430497761879328,-0.10154329330384125,0.16882339434247698,2.516400686119923
6,2024-08-09T18:35:58.0616106+03:30,-0.48761765817629793,0.3178332337510763,1.9805697503073985,-0.03429356757579565,-0.211625569488805,2.4272044968340003,-0.4790713545728786,0.24178217736546098,2.177667625913427,-0.04712953531772121,-0.02211092379205627,2.4926583222516316,-0.3803834900924713,0.19164249021009278,2.430315474586758,-0.10157736660293996,0.16877249963517296,2.5161825117320653
7,2024-08-09T18:35:58.0929938+03:30,-0.4873566834463797,0.3179861389410494,1.9806653642840673,-0.03550137785542333,-0.21132383678911584,2.426148819624246,-0.47902918869512306,0.24188198932622706,2.1775450948624875,-0.04717272030833403,-0.022056034773208315,2.492543114265391,-0.3802718578618362,0.19157322135504926,2.4301495229415715,-0.10161364222660334,0.16871832011006194,2.515933671397776
8,2024-08-09T18:35:58.1290498+03:30,-0.4871224546980938,0.3181825589124934,1.980855014622615,-0.036632781903429563,-0.211020543507873,2.4251210860907486,-0.4789984686010627,0.2419957434106191,2.177432748819945,-0.04721132091352586,-0.021998120167859417,2.4924112912190752,-0.38018801555849757,0.19151565441563467,2.4299837549943364,-0.10165255508919326,0.16867636156635557,2.515670579266806
9,2024-08-09T18:35:58.1599357+03:30,-0.4868606005837642,0.31848642203566235,1.981143397536461,-0.03780673983098854,-0.21072916720532534,2.4239865530400397,-0.4789739966336764,0.24212753633307388,2.177360685902688,-0.0472768870953317,-0.021967506774265844,2.4921782094806515,-0.38012725673625997,0.19145530796989285,2.429813529240066,-0.10168198411842598,0.16862570137402783,2.5153940590308435
10,2024-08-09T18:35:58.1921948+03:30,-0.4865900658847722,0.3188549954665142,1.9815067248771026,-0.038906635235436283,-0.21044171816151108,2.422873992744477,-0.4789656023727051,0.24229676247895915,2.177354141564838,-0.04727269840667681,-0.02192991001660504,2.4919011254567245,-0.38008796626589686,0.1913827536533874,2.4296401753548587,-0.10169975991639181,0.16857195355292412,2.515118827318662
11,2024-08-09T18:35:58.2300086+03:30,-0.4863168760627658,0.31924659791491616,1.9819413101298406,-0.03992739756254272,-0.21016380262019205,2.421805865048002,-0.47898481003133825,0.24251070398794813,2.1774407493980985,-0.047225121200317396,-0.021891738451297094,2.4916087900899107,-0.3801054621423835,0.1913449091372102,2.4295238122908698,-0.10170827311569783,0.16851452010137305,2.514841618712754
12,2024-08-09T18:35:58.2612118+03:30,-0.4860594964503815,0.3196769606354337,1.982438909450608,-0.040884367488319376,-0.20991363399805896,2.420768524505931,-0.47903680426842543,0.24275730441904048,2.1776036326761483,-0.047155604605660754,-0.021873379679351625,2.4912961480006572,-0.38015916848630493,0.19131940110029166,2.429432515753726,-0.10169531342338752,0.16844150998158752,2.51455982761868
