FrameNumber,Timestamp,LeftWristX,LeftWristY,LeftWristZ,RightWristX,RightWristY,RightWristZ,LeftElbowX,LeftElbowY,LeftElbowZ,RightElbowX,RightElbowY,RightElbowZ,LeftShoulderX,LeftShoulderY,LeftShoulderZ,RightShoulderX,RightShoulderY,RightShoulderZ
2,2024-08-09T17:00:13.6208493+03:30,-0.2988207,0.3145421,1.9443382,0.3616602,-0.272146553,2.6267972,-0.263941467,0.266377419,2.17826,0.277542561,-0.00766237965,2.54671454,-0.171542585,0.234847784,2.41605735,0.167772979,0.228101164,2.52454948
3,2024-08-09T17:00:13.6417889+03:30,-0.2988007349487483,0.31485837972039493,1.9441985219862243,0.3629197420067282,-0.27286706373494096,2.625015061024339,-0.26407529492027143,0.26614460808023577,2.177998764797795,0.2806640615059425,-0.013108045336862776,2.5472001007742913,-0.17155469652170796,0.23485207212657444,2.4159774787457096,0.16801443397533605,0.22822514349277104,2.524708383767497
4,2024-08-09T17:00:13.6743929+03:30,-0.2987838465968444,0.3151886240209356,1.9440096153273305,0.363995963480765,-0.2734128523722995,2.6234953987508374,-0.26422865162402204,0.26593177523997313,2.1777020599496932,0.2833093938067393,-0.017484730814925936,2.5473485723724187,-0.17158934327928763,0.23486749849697441,2.4158939891538016,0.1682329245935542,0.22850987009423013,2.524936218644702
5,2024-08-09T17:00:13.7082619+03:30,-0.2987716694926624,0.31549546427703906,1.9438373267219247,0.36479031030724546,-0.2736889180407629,2.622219191639393,-0.2643733395865901,0.26574168728931424,2.1774370784672943,0.28568824704838747,-0.021129762305279378,2.546953280481433,-0.17162739232928953,0.2348762382614414,2.4157949965490726,0.16840812410383146,0.22873598771603712,2.524919815858933
6,2024-08-09T17:00:13.7434793+03:30,-0.29876346939963705,0.3157217913592595,1.943948942784102,0.36808928936385055,-0.27224219723700943,2.6163112976774245,-0.26443295466973027,0.26549548919824084,2.177450956086615,0.2876231761466269,-0.024277799582374783,2.5465579987088427,-0.17166573932171786,0.23486008168995376,2.4156635810970264,0.1686033472404935,0.22892623797284825,2.524904400341872
7,2024-08-09T17:00:13.7760986+03:30,-0.29873293319435734,0.3160206731594598,1.9441164773433213,0.37193091714180526,-0.27011669950282036,2.6092594510734375,-0.26452228020862095,0.2652397424947478,2.177501133838945,0.28792559524004624,-0.024271998720260896,2.545332517692856,-0.17173299482851398,0.2348456352948795,2.4155305618313885,0.1687485270733517,0.22908956361485405,2.5247357400882096
8,2024-08-09T17:00:13.8123379+03:30,-0.2987006588696443,0.31634912051259745,1.9442280886225918,0.37499206972734866,-0.2666901493518898,2.602325685355804,-0.26464627569878196,0.26502313746060224,2.177494439977764,0.28740355798617645,-0.022871367258420417,2.543793031709487,-0.17180905791227702,0.234836600733716,2.415402391935932,0.16884969629216096,0.2292903060442579,2.524527110123943
9,2024-08-09T17:00:13.8425782+03:30,-0.29867596785382816,0.3166965539984884,1.9443070852620696,0.3764315962477744,-0.2649634426165093,2.5988284025714443,-0.26478751645237825,0.2648365410601318,2.1774502327708145,0.2865518379460139,-0.020915828514010464,2.5422446228162396,-0.1718830051939875,0.2348288434409601,2.415273349701848,0.16897187017571993,0.22958350345521353,2.5244494070175696
10,2024-08-09T17:00:13.8790950+03:30,-0.29872413260348346,0.31708612958931387,1.9442279554147417,0.3770462343346154,-0.2645075016213683,2.597416874990205,-0.26493673004696966,0.2647146854418973,2.17724259828341,0.286800733724158,-0.020598690499017625,2.54090970479315,-0.17197344018234303,0.23487538651549905,2.415165625298029,0.16910334654853937,0.22990312482543188,2.5244473098193865
11,2024-08-09T17:00:13.9107768+03:30,-0.2988229382882489,0.317508249874169,1.9440223077734378,0.3788884568121161,-0.2641271530197961,2.593994883149997,-0.26509095077516154,0.26464309898465777,2.176908081778905,0.2875624930720449,-0.021241075067370732,2.539868881072406,-0.1720683516579916,0.2349476247835675,2.4150720507659846,0.16923678394210012,0.23018678126529737,2.524461742405924
12,2024-08-09T17:00:13.9478767+03:30,-0.2989503098580325,0.31794468080215166,1.9437568297328844,0.38097812292202693,-0.26203160463953956,2.588390754119513,-0.2652453817356649,0.26459926325767447,2.1765118126968805,0.2877565571288384,-0.02118948365186565,2.5388920380822584,-0.1721589796145069,0.2350293502045269,2.4149838493430096,0.169361509789752,0.2304410812798213,2.5244803885660287
13,2024-08-09T17:00:13.9790171+03:30,-0.2990843239119309,0.31835951059591444,1.9434604123502761,0.38384626034612046,-0.26143607740065583,2.581503755801055,-0.26540177098232054,0.26458975847977523,2.1761018878128824,0.28826776539818566,-0.0219308821208491,2.5382209302980097,-0.17224331304523124,0.23511219954046914,2.41489611673472,0.1694757262355867,0.2306816935641088,2.5244918006915826
14,2024-08-09T17:00:14.0153747+03:30,-0.2992193863975585,0.3186285632250454,1.9431101761825769,0.3866999766140515,-0.2610467057641361,2.574190128917643,-0.2655541466956398,0.26456220604432995,2.1756692401033555,0.2880858015082081,-0.021452483797742047,2.5375009694550315,-0.1723194104291206,0.23519297433981287,2.4148078933824246,0.16947831554924614,0.2308145997879591,2.5241510851251627
15,2024-08-09T17:00:14.0464150+03:30,-0.2993406737414579,0.31874122627465534,1.9427017806005802,0.3890644424544492,-0.26042615880990183,2.5686284406639888,-0.2657111277530363,0.2644806973204531,2.1752095563642033,0.2881849139195427,-0.021919191036352106,2.537260022136302,-0.17238855255616858,0.23526831115430033,2.4147153679697513,0.16944780846117044,0.2308661081842457,2.5236563276137987
