FrameNumber,Timestamp,LeftElbowYaw,LeftElbowRoll,RightElbowYaw,RightElbowRoll,LeftShoulderRoll,LeftShoulderPitch,RightShoulderRoll,RightShoulderPitch,LeftWristX,LeftWristY,LeftWristZ,RightWristX,RightWristY,RightWristZ,LeftElbowX,LeftElbowY,LeftElbowZ,RightElbowX,RightElbowY,RightElbowZ,LeftShoulderX,LeftShoulderY,LeftShoulderZ,RightShoulderX,RightShoulderY,RightShoulderZ,LeftWristColorX,LeftWristColorY,RightWristColorX,RightWristColorY,LeftElbowColorX,LeftElbowColorY,RightElbowColorX,RightElbowColorY,LeftShoulderColorX,LeftShoulderColorY,RightShoulderColorX,RightShoulderColorY,origin_x,origin_y,goal_x,goal_y,origin_z,goal_z,is_grasped
11,2024-08-09T16:56:33.7510026+03:30,-15,-13,107,14,16,-17,-22,99,-0.3271157,0.385583162,1.93052554,0.2911286,-0.264392972,2.4945724,-0.3122152,0.308300525,2.139843,0.179366991,-0.0309024286,2.51849484,-0.247117251,0.239559218,2.36417437,0.0742997453,0.221399218,2.4765563,0,0,0,0,0,0,0,0,0,0,0,0,221.31414794921875,346.7225341796875,154.9325408935547,336.9158935546875,1.59334401369251,1.5202234260012395,-1
12,2024-08-09T16:56:33.7865904+03:30,-16,-12,106,14,15,-17,-22,99,-0.327340364,0.385364443,1.93077064,0.290058464,-0.2658394,2.49309587,-0.312188566,0.308253318,2.139793,0.178855672,-0.0311377943,2.51770616,-0.247313678,0.239506066,2.36413383,0.07404146,0.221534625,2.47615147,0,0,0,0,0,0,0,0,0,0,0,0,221.329833984375,346.40411376953125,154.85609436035156,336.8784484863281,1.592714513343236,1.520078456370223,-1
13,2024-08-09T16:56:33.8188106+03:30,-16,-11,105,14,15,-17,-22,99,-0.327540517,0.385097444,1.93095124,0.289047182,-0.267034,2.49206662,-0.312158972,0.308185667,2.13974524,0.17837587,-0.031383846,2.5169034,-0.247487441,0.239442348,2.36408854,0.0738341361,0.221688136,2.47581244,0,0,0,0,0,0,0,0,0,0,0,0,221.3130645751953,346.809814453125,154.95166015625,336.9209289550781,1.5921836990921563,1.5199562134736049,-1
14,2024-08-09T16:56:33.8555743+03:30,-16,-11,105,14,15,-17,-22,99,-0.3277155,0.3847682,1.93111145,0.288070947,-0.267961323,2.491374,-0.3121362,0.308053672,2.139726,0.177936837,-0.03163748,2.51610017,-0.247642756,0.239368364,2.36403918,0.0736709759,0.22185,2.47552967,0,0,0,0,0,0,0,0,0,0,0,0,221.22134399414065,346.47125244140625,154.9723663330078,336.879150390625,1.5917328350380917,1.5198523825613075,-1
15,2024-08-09T16:56:33.8866740+03:30,-16,-11,104,14,15,-17,-22,99,-0.3278633,0.384364069,1.9312408,0.287180245,-0.268684238,2.49080825,-0.312127084,0.307859629,2.139725,0.177539319,-0.0318935774,2.51530886,-0.247806534,0.239293009,2.36399,0.073537156,0.222011462,2.47528458,0,0,0,0,0,0,0,0,0,0,0,0,221.40060424804688,346.493896484375,154.7972412109375,336.8471374511719,1.5913477887903664,1.519763709040282,-1
16,2024-08-09T16:56:33.9174847+03:30,-16,-11,104,14,15,-17,-22,99,-0.3279874,0.383912832,1.93127251,0.286342025,-0.269243121,2.490238,-0.312152624,0.307607353,2.139663,0.177175626,-0.03212531,2.51452255,-0.24797374,0.239217639,2.36394286,0.073391825,0.222173661,2.475013,0,0,0,0,0,0,0,0,0,0,0,0,221.37380981445312,346.57958984375,154.75965881347656,336.8671264648437,1.591017606172113,1.5196876702384108,-1
17,2024-08-09T16:56:33.9553607+03:30,-16,-11,103,14,15,-17,-22,99,-0.3280895,0.3832974,1.93116748,0.285491824,-0.269275844,2.4902823,-0.312200129,0.307311177,2.13954282,0.176859155,-0.0323610157,2.51374769,-0.248143,0.239129782,2.36389065,0.07325601,0.222311556,2.47472429,0,0,0,0,0,0,0,0,0,0,0,0,221.36538696289065,346.4715881347656,154.87091064453125,336.9801025390625,1.590733599633929,1.5196222654724016,-1
18,2024-08-09T16:56:33.9925017+03:30,-15,-11,103,14,15,-17,-22,99,-0.328194022,0.382570684,1.93098,0.284764439,-0.269303918,2.490275,-0.312264,0.3069693,2.139393,0.176590458,-0.0326154344,2.5130055,-0.248306841,0.239033058,2.36383271,0.0731438845,0.222415209,2.47443867,0,0,0,0,0,0,0,0,0,0,0,0,221.4744873046875,346.6535949707031,154.6983642578125,337.000244140625,1.5904887470426696,1.5206341700892136,-1
19,2024-08-09T16:56:34.0225551+03:30,-15,-11,104,12,15,-17,-22,98,-0.328303933,0.381770372,1.93074071,0.284157455,-0.269376874,2.490254,-0.3123414,0.3065791,2.13922548,0.1763578,-0.0328828767,2.51230764,-0.24846153,0.238930121,2.36377025,0.07305324,0.22249192,2.47416,0,0,0,0,0,0,0,0,0,0,0,0,221.3836669921875,346.74371337890625,154.970703125,336.97198486328125,1.591555050684121,1.5204432809989883,-1
20,2024-08-09T16:56:34.0548756+03:30,-14,-11,104,12,15,-17,-22,98,-0.328426063,0.380937248,1.93045,0.2836239,-0.269466937,2.490129,-0.31243065,0.306145072,2.13902378,0.176157713,-0.0331611261,2.51164913,-0.248607,0.238826543,2.36370516,0.07297583,0.222540736,2.47387838,0,0,0,0,0,0,0,0,0,0,0,0,221.2152404785156,346.7050170898437,154.83982849121094,336.9743347167969,1.5912025314336988,1.5202782067544744,-1
