FrameNumber,Timestamp,LeftElbowYaw,LeftElbowRoll,RightElbowYaw,RightElbowRoll,LeftShoulderRoll,LeftShoulderPitch,RightShoulderRoll,RightShoulderPitch,LeftWristX,LeftWristY,LeftWristZ,RightWristX,RightWristY,RightWristZ,LeftElbowX,LeftElbowY,LeftElbowZ,RightElbowX,RightElbowY,RightElbowZ,LeftShoulderX,LeftShoulderY,LeftShoulderZ,RightShoulderX,RightShoulderY,RightShoulderZ,LeftWristColorX,LeftWristColorY,RightWristColorX,RightWristColorY,LeftElbowColorX,LeftElbowColorY,RightElbowColorX,RightElbowColorY,LeftShoulderColorX,LeftShoulderColorY,RightShoulderColorX,RightShoulderColorY,origin_x,origin_y,goal_x,goal_y,origin_z,goal_z
1,2024-08-09T18:32:16.5199581+03:30,-38,-30,152,9,27,3,-16,85,-0.50374347,0.238968372,2.02287841,0.019451987,-0.187650114,2.46576834,-0.495342553,0.1887892,2.21117377,-0.0543579347,-0.0197823849,2.49342418,-0.383658141,0.1999196,2.43310452,-0.105964392,0.165092051,2.508988,0,0,0,0,0,0,0,0,0,0,0,0,172.6601104736328,347.3570251464844,253.82308959960932,337.9006042480469,1.5529,1.5024
2,2024-08-09T18:32:16.6116774+03:30,-38,-30,156,9,27,3,-15,85,-0.5035332,0.239007741,2.02254319,0.0198719464,-0.188942343,2.46585178,-0.495163321,0.188858822,2.21082878,-0.05426616,-0.02119028,2.49285674,-0.3835689,0.19985801,2.43316221,-0.105516575,0.165257841,2.50951719,0,0,0,0,0,0,0,0,0,0,0,0,172.57225036621094,347.4975891113281,254.0116729736328,337.9228515625,1.5529,1.5024
3,2024-08-09T18:32:16.6716060+03:30,-38,-30,159,10,27,3,-15,85,-0.50340724,0.239005342,2.02232456,0.0215649065,-0.191649765,2.46587586,-0.495003074,0.188992858,2.21063948,-0.0539743,-0.0244883057,2.491999,-0.38349545,0.19961454,2.4328227,-0.1052737,0.165412024,2.50985551,0,0,0,0,0,0,0,0,0,0,0,0,172.5888671875,347.6399841308594,253.5820159912109,338.08087158203125,1.5529,1.5024
4,2024-08-09T18:32:16.7028923+03:30,-38,-30,165,10,27,3,-15,84,-0.503325045,0.2390153,2.0221746,0.0226989444,-0.192246318,2.466185,-0.494899362,0.189104632,2.21051455,-0.0538723245,-0.0255472343,2.49162436,-0.383416474,0.199437335,2.43252969,-0.105150126,0.165470451,2.51002479,0,0,0,0,0,0,0,0,0,0,0,0,172.58380126953125,347.6639404296875,253.784912109375,338.0527038574219,1.5617,1.5024
5,2024-08-09T18:32:16.7347604+03:30,-38,-30,166,10,27,3,-15,84,-0.5032301,0.239040121,2.02201247,0.0231465958,-0.193035409,2.466003,-0.49479413,0.189224869,2.2103765,-0.0538143851,-0.02652698,2.491253,-0.383316338,0.199270174,2.432228,-0.105030738,0.165520772,2.51018882,0,0,0,0,0,0,0,0,0,0,0,0,172.4899139404297,347.6778869628906,253.83154296875,338.0390625,1.5529,1.5024
6,2024-08-09T18:32:16.7700917+03:30,-38,-30,166,10,27,3,-15,84,-0.5031279,0.239068121,2.02185345,0.0233489,-0.194168359,2.465491,-0.4946963,0.1893394,2.21024036,-0.0536915064,-0.0277220886,2.49085045,-0.3832197,0.199123323,2.43194079,-0.104915872,0.165564209,2.51034737,0,0,0,0,0,0,0,0,0,0,0,0,172.59829711914062,347.4500732421875,253.91363525390625,338.2104797363281,1.5529,1.5024
7,2024-08-09T18:32:16.8007590+03:30,-36,-29,166,10,27,2,-15,84,-0.5030253,0.23908864,2.02172613,0.0237905271,-0.195091769,2.46509051,-0.4946043,0.189446837,2.21013713,-0.05353461,-0.0287921149,2.49050236,-0.383135825,0.199024484,2.43170881,-0.104793333,0.165579736,2.510496,0,0,0,0,0,0,0,0,0,0,0,0,172.49734497070312,347.5823059082031,254.05636596679688,338.0476989746094,1.5617,1.5024
8,2024-08-09T18:32:16.8720426+03:30,-36,-29,166,10,27,2,-15,84,-0.5028367,0.23911275,2.02153683,0.0250256527,-0.196711749,2.46426439,-0.494446039,0.189624876,2.209993,-0.0531709641,-0.0308470577,2.489878,-0.3830255,0.1989392,2.43138838,-0.104590677,0.165641069,2.51077461,0,0,0,0,0,0,0,0,0,0,0,0,172.57183837890625,347.3240966796875,253.989990234375,338.0619506835937,1.5529,1.5024
9,2024-08-09T18:32:16.9412479+03:30,-38,-30,161,10,27,3,-15,84,-0.5026377,0.238871142,2.02224851,0.0229437258,-0.199247614,2.461763,-0.494307369,0.189256385,2.21072435,-0.0528163426,-0.0328511633,2.489221,-0.383010954,0.198981762,2.43122745,-0.104513131,0.165851831,2.51102471,0,0,0,0,0,0,0,0,0,0,0,0,172.58737182617188,347.5543518066406,253.94091796875,338.1805114746094,1.5617,1.5024
10,2024-08-09T18:32:16.9714903+03:30,-38,-30,160,10,27,3,-14,84,-0.502506733,0.238483712,2.02328849,0.0210986324,-0.20054473,2.46016669,-0.494214416,0.188707426,2.21175146,-0.05265578,-0.0336397253,2.48890042,-0.3830402,0.199041456,2.43119431,-0.104497664,0.1659806,2.51113224,0,0,0,0,0,0,0,0,0,0,0,0,172.585205078125,347.54022216796875,253.7699432373047,338.101318359375,1.5529,1.5024
11,2024-08-09T18:32:17.0200157+03:30,-38,-30,156,10,27,3,-14,84,-0.502363443,0.238001466,2.02437282,0.019068649,-0.201848477,2.45850134,-0.494164556,0.18804878,2.21280718,-0.0524913147,-0.0343680345,2.48856378,-0.383088529,0.199071586,2.4310956,-0.1044753,0.166098192,2.51123619,0,0,0,0,0,0,0,0,0,0,0,0,172.46250915527344,347.5601501464844,253.83795166015625,338.18719482421875,1.5617,1.5024
12,2024-08-09T18:32:17.0501868+03:30,-38,-30,158,9,27,3,-14,83,-0.5022141,0.2375454,2.02518249,0.0169602036,-0.203129157,2.45682645,-0.4942842,0.187251359,2.21353173,-0.0523416474,-0.03504712,2.48822,-0.383190274,0.199105516,2.4310174,-0.104452215,0.1662298,2.51136136,0,0,0,0,0,0,0,0,0,0,0,0,172.51974487304688,347.48858642578125,253.73489379882807,338.09893798828125,1.5617,1.5024
13,2024-08-09T18:32:17.0718406+03:30,-38,-30,154,8,27,3,-14,83,-0.5020606,0.237085745,2.025781,0.0148784732,-0.2039346,2.455375,-0.494492978,0.186403662,2.21402669,-0.0522630624,-0.03524609,2.48794031,-0.383318633,0.199137643,2.4309473,-0.104430243,0.166383043,2.51154423,0,0,0,0,0,0,0,0,0,0,0,0,172.64096069335938,347.4387512207031,254.10269165039065,338.090087890625,1.5617,1.5024
14,2024-08-09T18:32:17.1018320+03:30,-40,-31,149,8,27,4,-14,83,-0.501907945,0.2364834,2.026633,0.0128470846,-0.204600647,2.45390081,-0.494659156,0.185454354,2.21485281,-0.0522530042,-0.03533463,2.48758721,-0.383457035,0.199166849,2.43087721,-0.10441009,0.166547358,2.51173735,0,0,0,0,0,0,0,0,0,0,0,0,172.597900390625,347.629638671875,253.78341674804688,338.0014038085937,1.5617,1.5024
15,2024-08-09T18:32:17.1395955+03:30,-40,-31,145,7,27,4,-14,83,-0.5017689,0.235780984,2.027642,0.0109072318,-0.205253527,2.45242143,-0.494794965,0.184462458,2.21589136,-0.0523004346,-0.0354478247,2.48715925,-0.383570671,0.199158892,2.43074775,-0.10438481,0.16671209,2.5119226,0,0,0,0,0,0,0,0,0,0,0,0,172.80059814453125,347.6127319335937,253.8889617919922,338.0145568847656,1.5529,1.5024
16,2024-08-09T18:32:17.1717562+03:30,-40,-31,140,7,27,4,-14,83,-0.5016466,0.23501654,2.02873278,0.009072472,-0.20594506,2.45096159,-0.4949141,0.1834646,2.21705914,-0.05237854,-0.0356361046,2.48667669,-0.383660883,0.199116737,2.430551,-0.104354143,0.166873008,2.512094,0,0,0,0,0,0,0,0,0,0,0,0,172.63388061523438,347.6339111328125,253.9945068359375,338.0277099609375,1.5617,1.5024
17,2024-08-09T18:32:17.2091393+03:30,-39,-32,136,7,28,4,-14,83,-0.5015393,0.234227344,2.02984548,0.007369252,-0.20667173,2.44953632,-0.4950363,0.182502389,2.21820736,-0.0524617471,-0.035897553,2.48615527,-0.38373512,0.199052766,2.43031263,-0.104318149,0.167029813,2.51224041,0,0,0,0,0,0,0,0,0,0,0,0,172.516845703125,347.484130859375,253.9127197265625,338.0492248535156,1.5617,1.5024
18,2024-08-09T18:32:17.2384329+03:30,-40,-33,131,7,28,5,-14,83,-0.5014493,0.233486965,2.03078437,0.00581061747,-0.2074163,2.4481616,-0.4951813,0.181635231,2.21915483,-0.052538462,-0.0362154841,2.485612,-0.38381198,0.19898349,2.43006039,-0.104282819,0.167181462,2.51235223,0,0,0,0,0,0,0,0,0,0,0,0,172.5454559326172,347.50494384765625,253.99725341796875,338.05535888671875,1.5617,1.5024
19,2024-08-09T18:32:17.2750095+03:30,-40,-33,133,6,28,5,-14,82,-0.5013724,0.232823208,2.03148818,0.004406623,-0.208168328,2.44682074,-0.495351166,0.18089205,2.2198534,-0.05259833,-0.03657905,2.48503065,-0.38391766,0.198956445,2.42984533,-0.104248457,0.167329788,2.51242566,0,0,0,0,0,0,0,0,0,0,0,0,172.74557495117188,347.447021484375,253.654052734375,338.1124267578125,1.5617,1.5024
20,2024-08-09T18:32:17.3064137+03:30,-40,-33,129,6,28,5,-14,82,-0.5013007,0.232235253,2.0319767,0.00313476985,-0.208721489,2.44550562,-0.4955387,0.180276811,2.22033381,-0.0526775643,-0.0367895477,2.48442817,-0.384049058,0.198963016,2.429659,-0.104228713,0.167490229,2.51244879,0,0,0,0,0,0,0,0,0,0,0,0,172.65721130371094,347.4193115234375,253.6298217773437,338.03326416015625,1.5617,1.5024
21,2024-08-09T18:32:17.3380749+03:30,-40,-33,125,6,28,5,-14,82,-0.5012372,0.231741667,2.03226447,0.00201732,-0.208837792,2.44441676,-0.495758235,0.179781511,2.220609,-0.052785363,-0.0365951546,2.48388934,-0.384192556,0.198994458,2.42950344,-0.104258716,0.167693123,2.51238465,0,0,0,0,0,0,0,0,0,0,0,0,172.6507110595703,347.57550048828125,253.82745361328125,338.0411682128906,1.5529,1.5024
22,2024-08-09T18:32:17.3717594+03:30,-40,-33,122,6,28,5,-14,82,-0.5011801,0.231331229,2.03239441,0.0009789524,-0.209005252,2.44333625,-0.496008515,0.179383382,2.22072268,-0.0528795458,-0.0364675038,2.48328,-0.384339184,0.19903934,2.42936444,-0.1043163,0.1679146,2.51226163,0,0,0,0,0,0,0,0,0,0,0,0,172.49957275390625,347.5284423828125,253.8729553222656,338.14862060546875,1.5617,1.5024
23,2024-08-09T18:32:17.4071527+03:30,-41,-34,119,6,28,6,-14,82,-0.5011113,0.231001541,2.03237462,3.63647159e-05,-0.209265485,2.44228768,-0.49633652,0.179012418,2.22066641,-0.05294735,-0.0364500172,2.48263478,-0.384501845,0.199117839,2.4292953,-0.104388453,0.168145031,2.512108,0,0,0,0,0,0,0,0,0,0,0,0,172.49896240234375,347.5133056640625,253.86264038085932,338.1854858398437,1.5617,1.5024
24,2024-08-09T18:32:17.4390784+03:30,-41,-34,116,6,28,6,-14,82,-0.5010359,0.230727524,2.03227472,-0.000849073054,-0.209512129,2.44130921,-0.496696979,0.178690612,2.220526,-0.05299477,-0.0364266373,2.48198771,-0.384642333,0.199192315,2.42922163,-0.104463324,0.168376818,2.51193857,0,0,0,0,0,0,0,0,0,0,0,0,172.564208984375,347.5077819824219,253.92630004882807,338.12567138671875,1.5617,1.5024
25,2024-08-09T18:32:17.4771981+03:30,-41,-34,113,6,28,6,-14,82,-0.5009542,0.23050639,2.03210688,-0.00169509859,-0.209819511,2.4403975,-0.4971019,0.1783859,2.22030568,-0.0530160144,-0.0364652239,2.4813354,-0.3847933,0.199266791,2.42919016,-0.104537323,0.16860348,2.511752,0,0,0,0,0,0,0,0,0,0,0,0,172.76043701171875,347.3680114746094,254.0257110595703,338.20416259765625,1.5617,1.5024
26,2024-08-09T18:32:17.5087125+03:30,-41,-34,114,5,28,6,-14,81,-0.500867963,0.230339214,2.03186274,-0.0025321818,-0.210219771,2.439507,-0.497554183,0.178090557,2.2199955,-0.0530146919,-0.0366000123,2.480684,-0.384958267,0.19935967,2.429213,-0.104618669,0.168835714,2.511556,0,0,0,0,0,0,0,0,0,0,0,0,172.6595458984375,347.546875,253.6480407714844,338.05291748046875,1.5617,1.5024
27,2024-08-09T18:32:17.5392481+03:30,-41,-34,110,5,28,6,-14,81,-0.5007806,0.23021014,2.031587,-0.003341689,-0.210702151,2.4386487,-0.498042,0.177788123,2.21963978,-0.0529936366,-0.036825072,2.48004842,-0.38512978,0.199460581,2.42927265,-0.104696609,0.16906257,2.51135731,0,0,0,0,0,0,0,0,0,0,0,0,172.64141845703125,347.45416259765625,253.5704040527344,338.0426940917969,1.5617,1.5024
28,2024-08-09T18:32:17.5762940+03:30,-41,-34,107,4,28,6,-14,81,-0.500696242,0.2301006,2.03133035,-0.00409969036,-0.211257085,2.43783021,-0.4985814,0.177448973,2.219286,-0.05295561,-0.0371338725,2.47942448,-0.3853359,0.199575841,2.429404,-0.104768716,0.169281811,2.51116133,0,0,0,0,0,0,0,0,0,0,0,0,172.69056701660156,347.6992492675781,254.04702758789065,338.04083251953125,1.5529,1.5024
29,2024-08-09T18:32:17.6068409+03:30,-41,-35,109,4,28,6,-14,81,-0.500644743,0.23002781,2.03110623,-0.00373560772,-0.211383983,2.43754625,-0.499175251,0.177074581,2.218942,-0.0528992228,-0.03734324,2.47885823,-0.385562032,0.199691564,2.4295733,-0.104835756,0.1694927,2.51096439,0,0,0,0,0,0,0,0,0,0,0,0,172.58517456054688,347.57647705078125,253.97634887695312,338.1107788085937,1.5617,1.4944
30,2024-08-09T18:32:17.6452791+03:30,-41,-35,117,4,28,6,-14,81,-0.5006918,0.22981441,2.0313704,-0.0019909346,-0.210511759,2.43811941,-0.499828517,0.17648679,2.21906424,-0.05285732,-0.0371573158,2.47842264,-0.385797322,0.1998039,2.42976046,-0.104887627,0.16968514,2.5107677,0,0,0,0,0,0,0,0,0,0,0,0,172.59396362304688,347.5690002441406,253.9341735839844,338.09478759765625,1.5529,1.5024
31,2024-08-09T18:32:17.6770250+03:30,-42,-36,127,5,28,7,-14,81,-0.5008113,0.229494527,2.03194785,0.000314004574,-0.209516972,2.43897581,-0.5005133,0.175765514,2.219493,-0.05280609,-0.0370173976,2.47800732,-0.3860483,0.199915156,2.429965,-0.104926929,0.1698598,2.510569,0,0,0,0,0,0,0,0,0,0,0,0,172.65423583984375,347.4084777832031,254.2553558349609,338.11834716796875,1.5617,1.5024
32,2024-08-09T18:32:17.7079047+03:30,-41,-36,138,5,29,7,-14,81,-0.500990033,0.22906369,2.03281069,0.0028575724,-0.2084559,2.43996644,-0.5012278,0.17492266,2.22033286,-0.0527638,-0.0368675776,2.47761655,-0.386319667,0.2000226,2.43018746,-0.104948558,0.170015842,2.510371,0,0,0,0,0,0,0,0,0,0,0,0,172.43045043945312,347.4608764648437,253.7496337890625,338.11749267578125,1.5529,1.5024
33,2024-08-09T18:32:17.7387169+03:30,-41,-37,145,5,29,7,-14,81,-0.501206458,0.228561521,2.03384018,0.004735357,-0.207329124,2.44076085,-0.5019808,0.173996747,2.22142339,-0.0527627878,-0.03634706,2.47730756,-0.3866002,0.200120211,2.43042088,-0.104950689,0.170152485,2.51017523,0,0,0,0,0,0,0,0,0,0,0,0,172.5511016845703,347.56768798828125,254.0015563964844,338.1258544921875,1.5617,1.5024
34,2024-08-09T18:32:17.7711609+03:30,-41,-37,150,5,29,7,-14,81,-0.501445532,0.228007182,2.03496671,0.006065935,-0.20601134,2.4414444,-0.5027579,0.173024,2.22266078,-0.05280921,-0.03540361,2.47708821,-0.3868954,0.2002208,2.43068862,-0.104952067,0.170278087,2.509971,0,0,0,0,0,0,0,0,0,0,0,0,172.5958709716797,347.33892822265625,253.8436889648437,337.9907531738281,1.5617,1.5024
35,2024-08-09T18:32:17.8088736+03:30,-43,-38,154,6,29,8,-14,81,-0.5019178,0.227271989,2.03631544,0.007283401,-0.205963269,2.44177032,-0.5035476,0.172051013,2.22407579,-0.0528811552,-0.03414877,2.47695661,-0.387178749,0.2002844,2.43094349,-0.104950942,0.170398548,2.50975752,0,0,0,0,0,0,0,0,0,0,0,0,172.6453399658203,347.4433898925781,253.7925720214844,338.0828857421875,1.5529,1.5024
36,2024-08-09T18:32:17.8379801+03:30,-43,-38,156,6,29,8,-14,81,-0.502527535,0.226433769,2.03779316,0.008407518,-0.206823066,2.44181848,-0.504382968,0.171039239,2.22556853,-0.05296193,-0.0327275656,2.4768815,-0.387456954,0.200315654,2.43118334,-0.104936481,0.170505181,2.50953627,0,0,0,0,0,0,0,0,0,0,0,0,172.65826416015625,347.5712585449219,253.86734008789065,337.98565673828125,1.5617,1.5024
37,2024-08-09T18:32:17.8699294+03:30,-42,-39,157,6,30,8,-14,81,-0.5032148,0.225537792,2.03935885,0.0091179,-0.206768483,2.441829,-0.5053447,0.169909671,2.22707582,-0.0530377254,-0.0312274676,2.476843,-0.3877222,0.200306371,2.43135738,-0.104911946,0.170602456,2.50931263,0,0,0,0,0,0,0,0,0,0,0,0,172.58815002441406,347.53240966796875,253.9069061279297,338.11529541015625,1.5529,1.5024
38,2024-08-09T18:32:17.9047532+03:30,-43,-39,158,6,30,9,-14,81,-0.50397855,0.224625558,2.040936,0.0093928175,-0.2061227,2.44177961,-0.5063888,0.168725953,2.228546,-0.05310952,-0.0296817217,2.47682285,-0.3879692,0.20025821,2.43146276,-0.104880832,0.170693129,2.50908232,0,0,0,0,0,0,0,0,0,0,0,0,172.75094604492188,347.57183837890625,253.88168334960932,337.9060363769531,1.5529,1.5024
39,2024-08-09T18:32:17.9407427+03:30,-43,-39,158,6,30,9,-14,81,-0.5047405,0.2237014,2.04249024,0.009407786,-0.205242842,2.44166923,-0.5074998,0.1675235,2.229964,-0.0531587526,-0.0282878634,2.47676969,-0.388200641,0.200184777,2.43152881,-0.104845367,0.170781508,2.50884056,0,0,0,0,0,0,0,0,0,0,0,0,172.48988342285156,347.55487060546875,253.67779541015625,338.0389404296875,1.5529,1.5024
40,2024-08-09T18:32:17.9848703+03:30,-44,-41,158,5,31,10,-14,81,-0.5054904,0.222770423,2.0440464,0.009362608,-0.205200061,2.44129753,-0.5086675,0.166335955,2.231373,-0.05317007,-0.0276732445,2.476498,-0.388422668,0.200098634,2.431574,-0.104809493,0.170872808,2.50858569,0,0,0,0,0,0,0,0,0,0,0,0,172.72630310058594,347.49273681640625,254.01922607421875,337.9886474609375,1.5529,1.5024
41,2024-08-09T18:32:18.0140823+03:30,-44,-41,157,5,31,10,-14,81,-0.5062391,0.221814334,2.04561067,0.009415829,-0.205741554,2.44080853,-0.509870231,0.1651809,2.23279929,-0.05314263,-0.0276267175,2.47608256,-0.388635,0.19999443,2.43159461,-0.104774214,0.170970425,2.50832558,0,0,0,0,0,0,0,0,0,0,0,0,172.54173278808594,347.6395263671875,253.7240753173828,338.14874267578125,1.5529,1.5024
42,2024-08-09T18:32:18.0420951+03:30,-43,-41,158,5,31,10,-14,81,-0.506974041,0.220835567,2.04720235,0.009735699,-0.206552818,2.44036365,-0.511080146,0.1640772,2.23427153,-0.0530849,-0.0279805977,2.47557974,-0.388837337,0.199872181,2.43159,-0.10473261,0.171069518,2.50804973,0,0,0,0,0,0,0,0,0,0,0,0,172.84573364257812,347.5687255859375,253.89366149902344,338.04833984375,1.5529,1.5024
43,2024-08-09T18:32:18.0739845+03:30,-44,-42,159,5,32,11,-14,81,-0.508033,0.219825,2.04875135,0.010196167,-0.207532525,2.439931,-0.512278438,0.163030118,2.235736,-0.0530021,-0.0286098719,2.475023,-0.3890414,0.199732974,2.43155932,-0.104687706,0.171165437,2.507757,0,0,0,0,0,0,0,0,0,0,0,0,172.5984649658203,347.46856689453125,254.1195526123047,338.0438537597656,1.5529,1.5024
44,2024-08-09T18:32:18.1060676+03:30,-44,-42,160,6,32,11,-14,81,-0.5092758,0.2187339,2.05020142,0.010721691,-0.208610386,2.43950033,-0.51345104,0.162038714,2.23714972,-0.0528970137,-0.0294277314,2.47443914,-0.389240623,0.19954662,2.4314692,-0.1046259,0.17124477,2.507447,0,0,0,0,0,0,0,0,0,0,0,0,172.57754516601562,347.4774169921875,253.85528564453125,338.05621337890625,1.5529,1.5024
45,2024-08-09T18:32:18.1447280+03:30,-44,-42,161,6,32,11,-14,81,-0.5105855,0.217556447,2.05153656,0.0112738889,-0.209728822,2.43907976,-0.5145963,0.161091551,2.23849463,-0.0527776219,-0.0303548574,2.47385168,-0.3894475,0.1993397,2.431389,-0.104567848,0.171321929,2.50712466,0,0,0,0,0,0,0,0,0,0,0,0,172.6637725830078,347.6407470703125,253.742431640625,338.2435607910156,1.5617,1.5024
46,2024-08-09T18:32:18.1740849+03:30,-44,-44,162,6,33,12,-14,81,-0.51184696,0.216297552,2.05283856,0.01182277,-0.210849553,2.43866754,-0.515753031,0.160088286,2.23981929,-0.052647002,-0.0313427858,2.47327614,-0.389664382,0.199096486,2.43128872,-0.104512848,0.171389848,2.506785,0,0,0,0,0,0,0,0,0,0,0,0,172.652587890625,347.5335388183594,253.82589721679688,338.18817138671875,1.5529,1.5024
47,2024-08-09T18:32:18.2111337+03:30,-44,-44,162,6,33,12,-14,81,-0.5130001,0.214987934,2.05410242,0.0124960011,-0.210682675,2.43817067,-0.516948462,0.158999473,2.24109554,-0.0525651462,-0.0314814039,2.47286963,-0.389881283,0.198825046,2.43116164,-0.104473375,0.171451539,2.50640416,0,0,0,0,0,0,0,0,0,0,0,0,172.5520477294922,347.46014404296875,253.82704162597656,338.14910888671875,1.5529,1.4944
48,2024-08-09T18:32:18.2451549+03:30,-43,-44,161,6,34,12,-14,81,-0.5140349,0.213556588,2.05539656,0.0131160524,-0.210412249,2.43746781,-0.5180764,0.157824442,2.242416,-0.0525158942,-0.03174644,2.472433,-0.3900887,0.1985149,2.430993,-0.104439095,0.171506613,2.50600314,0,0,0,0,0,0,0,0,0,0,0,0,172.708251953125,347.4278259277344,253.9639587402344,337.9966125488281,1.5529,1.5024
49,2024-08-09T18:32:18.2754699+03:30,-44,-45,161,6,34,13,-14,81,-0.5149718,0.211950123,2.0567553,0.0138036367,-0.2101075,2.43671536,-0.5190707,0.156592175,2.2438395,-0.0524717346,-0.0321481265,2.47198749,-0.3902833,0.198178053,2.43079019,-0.104407363,0.171556637,2.50560021,0,0,0,0,0,0,0,0,0,0,0,0,172.5891876220703,347.59039306640625,253.7933807373047,338.1079406738281,1.5529,1.5024
50,2024-08-09T18:32:18.3119765+03:30,-44,-45,161,7,34,13,-14,81,-0.515762448,0.210272431,2.05803919,0.0142401205,-0.2092517,2.43620682,-0.5200647,0.155240312,2.24517155,-0.0524376445,-0.0319638252,2.47170877,-0.390476644,0.197831392,2.4305954,-0.104378939,0.171601981,2.50520229,0,0,0,0,0,0,0,0,0,0,0,0,172.67784118652344,347.552978515625,253.7892303466797,338.106201171875,1.5529,1.5024
51,2024-08-09T18:32:18.3441375+03:30,-43,-46,160,7,35,13,-14,81,-0.5159226,0.208484828,2.05769658,0.0146327186,-0.208712414,2.43576813,-0.520997941,0.153830364,2.24644351,-0.0523521341,-0.03198608,2.471464,-0.390667617,0.197465137,2.43040371,-0.104347691,0.171640083,2.50481248,0,0,0,0,0,0,0,0,0,0,0,0,172.57632446289062,347.43463134765625,253.90768432617188,338.05792236328125,1.5529,1.5024
