FrameNumber,Timestamp,LeftElbowYaw,LeftElbowRoll,RightElbowYaw,RightElbowRoll,LeftShoulderRoll,LeftShoulderPitch,RightShoulderRoll,RightShoulderPitch,LeftWristX,LeftWristY,LeftWristZ,RightWristX,RightWristY,RightWristZ,LeftElbowX,LeftElbowY,LeftElbowZ,RightElbowX,RightElbowY,RightElbowZ,LeftShoulderX,LeftShoulderY,LeftShoulderZ,RightShoulderX,RightShoulderY,RightShoulderZ,LeftWristColorX,LeftWristColorY,RightWristColorX,RightWristColorY,LeftElbowColorX,LeftElbowColorY,RightElbowColorX,RightElbowColorY,LeftShoulderColorX,LeftShoulderColorY,RightShoulderColorX,RightShoulderColorY,origin_x,origin_y,goal_x,goal_y
1,2024-08-09T16:54:27.0713392+03:30,-37,-5,61,10,9,1,-10,5,-0.34715575,0.251503527,1.92953384,0.04699787,0.246794522,1.93014908,-0.327560127,0.244048461,2.15038466,0.0264757518,0.231800154,2.16348147,-0.288169742,0.249130666,2.39064527,-0.0149935419,0.253261983,2.39947915,0,0,0,0,0,0,0,0,0,0,0,0,178.22930908203125,346.42559814453125,277.3173828125,337.437744140625
2,2024-08-09T16:54:27.1290290+03:30,-35,-5,60,10,9,1,-10,5,-0.3471409,0.251555026,1.92841733,0.0467859842,0.246128634,1.92963576,-0.32773912,0.244439483,2.15014052,0.0269677583,0.23051174,2.16299868,-0.28844592,0.249086455,2.39042974,-0.0156334862,0.25286898,2.3993988,0,0,0,0,0,0,0,0,0,0,0,0,178.3478546142578,346.4151611328125,277.6492919921875,337.4871826171875
3,2024-08-09T16:54:27.1644697+03:30,-35,-5,60,10,9,1,-10,5,-0.347118169,0.251705617,1.92722273,0.0462759025,0.245944127,1.9311,-0.327833027,0.244612917,2.14995074,0.0257969052,0.231490135,2.16442275,-0.288633168,0.2490441,2.39026141,-0.0158963725,0.252569616,2.39922476,0,0,0,0,0,0,0,0,0,0,0,0,178.61422729492188,346.56787109375,277.3712158203125,337.71990966796875
4,2024-08-09T16:54:27.2101181+03:30,-34,-5,60,10,9,1,-10,5,-0.347387552,0.251450449,1.925953,0.04599073,0.245635808,1.931442,-0.3283153,0.244473025,2.14978051,0.0253508873,0.231679574,2.16476321,-0.2889111,0.248976335,2.3900516,-0.0161173921,0.252358645,2.399041,0,0,0,0,0,0,0,0,0,0,0,0,178.26422119140625,346.3716125488281,277.2734680175781,337.6332397460937
5,2024-08-09T16:54:27.2426515+03:30,-33,-5,60,10,9,1,-10,5,-0.347785324,0.2510615,1.92474008,0.0458092652,0.2452329,1.93136263,-0.328920722,0.244272649,2.14961576,0.02518713,0.231555626,2.1647,-0.289235115,0.248905957,2.3898325,-0.01631111,0.25223,2.39890337,0,0,0,0,0,0,0,0,0,0,0,0,178.447998046875,346.46881103515625,277.339599609375,337.5790100097656
6,2024-08-09T16:54:27.2780563+03:30,-32,-5,60,9,9,1,-10,5,-0.34826088,0.250602275,1.9235841,0.0454559028,0.244934916,1.932272,-0.3295768,0.244020417,2.149416,0.0244013835,0.232225,2.16558814,-0.289613664,0.248804674,2.38957953,-0.0164737757,0.252195418,2.39881063,0,0,0,0,0,0,0,0,0,0,0,0,178.39410400390625,346.343505859375,277.37091064453125,337.54937744140625
7,2024-08-09T16:54:27.3125939+03:30,-26,-6,59,9,10,1,-10,5,-0.348782122,0.250107825,1.92250264,0.04527504,0.244519964,1.93256533,-0.330238223,0.243756056,2.14919162,0.0239964873,0.2324173,2.16588163,-0.290019453,0.248692572,2.38930678,-0.0166175179,0.2522148,2.398755,0,0,0,0,0,0,0,0,0,0,0,0,178.43362426757812,346.3896484375,277.1134033203125,337.505615234375
8,2024-08-09T16:54:27.3460634+03:30,-25,-6,59,9,10,1,-10,5,-0.349320024,0.249608234,1.92149556,0.0450239033,0.244184732,1.93350315,-0.330912441,0.243482813,2.14895058,0.0232554823,0.233127043,2.16679168,-0.2904594,0.2485801,2.38902116,-0.0167045444,0.252314478,2.39872169,0,0,0,0,0,0,0,0,0,0,0,0,178.37435913085938,346.35675048828125,277.3310241699219,337.6141357421875
9,2024-08-09T16:54:27.3785270+03:30,-25,-6,59,9,10,1,-10,5,-0.349915743,0.249068648,1.920577,0.0449314229,0.243795589,1.93383718,-0.331612647,0.243183225,2.14871359,0.02285434,0.23341389,2.16711736,-0.2909233,0.248469844,2.38873816,-0.016756624,0.252497971,2.3987112,0,0,0,0,0,0,0,0,0,0,0,0,178.36355590820312,346.22198486328125,277.1712646484375,337.55517578125
10,2024-08-09T16:54:27.4097477+03:30,-24,-6,59,9,10,1,-10,5,-0.3505986,0.248473331,1.91968894,0.0448203757,0.243463844,1.93468451,-0.3323698,0.242827877,2.1484313,0.0222145468,0.234085143,2.1679287,-0.291459262,0.248298332,2.388413,-0.016793089,0.2527026,2.39869547,0,0,0,0,0,0,0,0,0,0,0,0,178.44277954101562,346.2869873046875,277.3635559082031,337.5345458984375
11,2024-08-09T16:54:27.4432866+03:30,-23,-6,61,7,10,1,-9,4,-0.351369381,0.2478168,1.918842,0.0447409078,0.243146747,1.93577957,-0.333195865,0.242390215,2.148124,0.021485161,0.2349297,2.16897082,-0.292049974,0.248071656,2.38805914,-0.0167940371,0.252891868,2.39865661,0,0,0,0,0,0,0,0,0,0,0,0,178.26657104492188,346.269287109375,277.4120483398437,337.67779541015625
